text,fiscal_period_ref,source,role,page,section,reporting_period,date_of_call,bank,document_type,reference,source_type,is_comparative,sentiment
"Wealth, again, really strong performance this quarter with revenues up 9%. But look at the client investment assets, up 24%. The client balances up 14%. That's driving fee momentum and it's a keen area of focus for Andy and that team that he's pulled together and it's a real opportunity for us given the $5 trillion or so of assets that our clients hold away from us and we're better positioning ourselves to capture that.",quarter,Mark Mason,CFO,13,Q and A,Q3_2024,2024-10-15,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 13",internal,False,Positive
"And then finally, you can see kind of continued momentum on USPB but it's across the board is what I'm saying, Erika, in terms of that fee momentum and it is important.",quarter,Mark Mason,CFO,13,Q and A,Q3_2024,2024-10-15,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 13",internal,False,Positive
It's an important aspect as we think about getting to those medium term targets and that 4% to 5% revenue.,quarter,Mark Mason,CFO,13,Q and A,Q3_2024,2024-10-15,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 13",internal,False,Neutral
Our next question will come from Gerard Cassidy with RBC. Your line is now open. Please go ahead.,quarter,OPERATOR,Other,13,Q and A,Q3_2024,2024-10-15,Citigroup,transcript,"OPERATOR (Other)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 13",internal,False,Neutral
"Hi, Mark, hi, Jane.",quarter,Gerard Cassidy,Analyst,13,Q and A,Q3_2024,2024-10-15,Citigroup,transcript,"Gerard Cassidy (Analyst)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 13",internal,False,Neutral
Good morning.,quarter,Mark Mason,CFO,13,Q and A,Q3_2024,2024-10-15,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 13",internal,False,Positive
"Mark, you touched on in your prepared comments about growing the US Personal Banking RoTCE to higher levels. And you mentioned two items. One, innovative products and the normalization of credit costs. Can you elaborate on those two items that will be contributing to the driver aside from the efficiency improvement that you also touched on?",quarter,Gerard Cassidy,Analyst,13,Q and A,Q3_2024,2024-10-15,Citigroup,transcript,"Gerard Cassidy (Analyst)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 13",internal,False,Positive
"Yeah, sure. So obviously USPB is a combination of the cards businesses that we have in the Retail Banking business and that cards portfolio has both Branded as well as Retail Services as part of it.",quarter,Mark Mason,CFO,13,Q and A,Q3_2024,2024-10-15,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 13",internal,False,Neutral
"And even within Branded, we have proprietary cards where we frankly have been looking to how we can come up with new innovative products.",quarter,Mark Mason,CFO,13,Q and A,Q3_2024,2024-10-15,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 13",internal,False,Neutral
One example of product innovation is the recent refresh that we did of our Strata Premier Card which was designed to drive acquisition and engagement with a new rewards offering. And with that acquisitions are up some 7% both quarter-over-quarter and year-over-year for Branded Cards so that's an example of product innovation.,quarter,Mark Mason,CFO,13,Q and A,Q3_2024,2024-10-15,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 13",internal,False,Positive
"Another one is we also launched FlexPay at Costco a few quarters ago and you can see good instalment loan growth as a consequence of that, up some 15% or so.",quarter,Mark Mason,CFO,13,Q and A,Q3_2024,2024-10-15,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 13",internal,False,Positive
"And so that type of product creation is important to acquisitions, it's important to ensuring the card stays top of wallet and important to driving some of that top line performance.",quarter,Mark Mason,CFO,13,Q and A,Q3_2024,2024-10-15,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 13",internal,False,Positive
"And then the other thing that I mentioned, you're right was around cost of credit and that really is the continued normalization of cost of credit.",quarter,Mark Mason,CFO,13,Q and A,Q3_2024,2024-10-15,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 13",internal,False,Neutral
I mentioned a couple of times now the idea that multiple vintages are maturing at the same time. And that has to play through for us to kind of see a more normal level of credit and that will be important to the returns.,quarter,Mark Mason,CFO,13,Q and A,Q3_2024,2024-10-15,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 13",internal,False,Neutral
"And again, we are starting to see stabilization in both the cost of credit line but also in delinquencies and that's a good indicator for us.",quarter,Mark Mason,CFO,13,Q and A,Q3_2024,2024-10-15,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 13",internal,False,Positive
"Very good. And then just following up on credit. In the Banking division, you guys mentioned the cost of credit was, I think, $177 million due to ACL build of $141 million. And it was due to a change in the mix in the portfolio. Can you share with us what that mix change was that drove this provision?",quarter,Gerard Cassidy,Analyst,13,Q and A,Q3_2024,2024-10-15,Citigroup,transcript,"Gerard Cassidy (Analyst)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 13",internal,False,Neutral
It's a mix of kind of different asset classes and clients that we've lent against. There's nothing material or significant in that number.,quarter,Mark Mason,CFO,13,Q and A,Q3_2024,2024-10-15,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 13",internal,False,Neutral
When you look at the nonaccrual loans that ratio still 31 basis points. So it's a mix change of our exposures but nothing material there.,quarter,Mark Mason,CFO,13,Q and A,Q3_2024,2024-10-15,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 13",internal,False,Neutral
And we continue to see a very healthy corporate sector really across the world.,quarter,Jane Fraser,CEO,13,Q and A,Q3_2024,2024-10-15,Citigroup,transcript,"Jane Fraser (CEO)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 13",internal,False,Positive
Our next question will come from the line of Vivek Juneja with JPMorgan. Your line is now open. Please go ahead.,quarter,OPERATOR,Other,13,Q and A,Q3_2024,2024-10-15,Citigroup,transcript,"OPERATOR (Other)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 13",internal,False,Neutral
"Hi. Two questions, Jane and Mark. One is on expenses and the other is on your response to the asset cap question before. So first one, expenses, an easier one. Earlier in the year you had said you expect about $700 million to $1 billion of severance charges in the $53.5 billion to $53.8 billion. Did you have any in the third quarter? Expect any if the fourth? And do you expect to be done with those this year or any to continue into next year too?",quarter,Vivek Juneja,Analyst,13,Q and A,Q3_2024,2024-10-15,Citigroup,transcript,"Vivek Juneja (Analyst)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 13",internal,False,Neutral
Yeah. So that number was a combination of restructuring charges and severance charges or repositioning charges and we breakout obviously restructuring so that you can see those.,quarter,Mark Mason,CFO,13,Q and A,Q3_2024,2024-10-15,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 13",internal,False,Neutral
And this restructuring component was largely driven by the org simplification. That will be done this year.,quarter,Mark Mason,CFO,14,Q and A,Q3_2024,2024-10-15,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 14",internal,False,Neutral
The normal severance or repositioning charges that we take as a normal course of BAU you would expect that to occur in any year and it certainly will be part of 2025 and 2026 going forward.,quarter,Mark Mason,CFO,14,Q and A,Q3_2024,2024-10-15,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 14",internal,False,Neutral
"We did have some this quarter. I would expect that we will have some next quarter, but I don't see us being outside of by any stretch the range that I gave and again the range was for the combination of both.",quarter,Mark Mason,CFO,14,Q and A,Q3_2024,2024-10-15,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 14",internal,False,Neutral
"Okay. Thanks on that. And shifting to the asset cap question, Jane and Mark, we didn't hear a clear answer on, A, do you have an asset cap? And B, even if you don't, what is the effective implication or impact of what the regulators have said?",quarter,Vivek Juneja,Analyst,14,Q and A,Q3_2024,2024-10-15,Citigroup,transcript,"Vivek Juneja (Analyst)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 14",internal,False,Neutral
So let me be crystal clear. We do not have an asset cap and there are no additional measures other than what was announced in July in place and not expecting any.,quarter,Jane Fraser,CEO,14,Q and A,Q3_2024,2024-10-15,Citigroup,transcript,"Jane Fraser (CEO)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 14",internal,False,Neutral
"So the implications of what we're doing is as I've laid out, we've increased investments in the areas where we were behind, particularly in the data related to our regulatory processes and regulatory reporting.",quarter,Jane Fraser,CEO,14,Q and A,Q3_2024,2024-10-15,Citigroup,transcript,"Jane Fraser (CEO)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 14",internal,False,Neutral
"We're increasing investment behind it. And we continue to make progress, material progress on the orders in place including closing the BSA/AML order this quarter. The third order closed since 2021.",quarter,Jane Fraser,CEO,14,Q and A,Q3_2024,2024-10-15,Citigroup,transcript,"Jane Fraser (CEO)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 14",internal,False,Positive
"And you don't expect anything meaningful, Jane, that will impact business like there was this new story about China, some license that you didn't get approved by the regulators. Anything more meaningful like that that might be occurring that may be...",quarter,Vivek Juneja,Analyst,14,Q and A,Q3_2024,2024-10-15,Citigroup,transcript,"Vivek Juneja (Analyst)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 14",internal,False,Neutral
"Absolutely – let me be crystal clear, absolutely nothing.",quarter,Jane Fraser,CEO,14,Q and A,Q3_2024,2024-10-15,Citigroup,transcript,"Jane Fraser (CEO)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 14",internal,False,Neutral
Okay. Great. Thank you.,quarter,Vivek Juneja,Analyst,14,Q and A,Q3_2024,2024-10-15,Citigroup,transcript,"Vivek Juneja (Analyst)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 14",internal,False,Neutral
Our next question will come from the line of Matt O'Connor with Deutsche Bank. Your line is now open. Please go ahead.,quarter,OPERATOR,Other,14,Q and A,Q3_2024,2024-10-15,Citigroup,transcript,"OPERATOR (Other)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 14",internal,False,Neutral
"Hi. Just a couple of clarification questions. I guess first on Banamex, are you on track to still IPO it the fourth quarter of next year or does it just get pushed out by a quarter with the legal separation taking a little bit longer?",quarter,Matt O'Connor,Analyst,14,Q and A,Q3_2024,2024-10-15,Citigroup,transcript,"Matt O'Connor (Analyst)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 14",internal,False,Neutral
"Look, I think as I mentioned in response to Erika's question, we plan to be ready to IPO at the end of 2025 based on the factors we can control.",quarter,Jane Fraser,CEO,14,Q and A,Q3_2024,2024-10-15,Citigroup,transcript,"Jane Fraser (CEO)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 14",internal,False,Neutral
The timing is going to get driven by how we maximize shareholder value and that will be market conditions. So that's where we stand.,quarter,Jane Fraser,CEO,14,Q and A,Q3_2024,2024-10-15,Citigroup,transcript,"Jane Fraser (CEO)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 14",internal,False,Neutral
"Okay. I think that means by the end of 2025, you talk about 1Q 2026, that was kind of my clarification question on that. I thought you needed four quarters after you legally separated it to officially IPO it.",quarter,Matt O'Connor,Analyst,14,Q and A,Q3_2024,2024-10-15,Citigroup,transcript,"Matt O'Connor (Analyst)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 14",internal,False,Neutral
We believe as we stand at the moment we would be ready to IPO at the end of 2025.,quarter,Jane Fraser,CEO,14,Q and A,Q3_2024,2024-10-15,Citigroup,transcript,"Jane Fraser (CEO)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 14",internal,False,Neutral
"It's much more a focus on what the market conditions at that point will be and Mark and I are very, very much focused on the shareholder value and maximizing that over – rushing over one quarter versus another quarter.",quarter,Jane Fraser,CEO,14,Q and A,Q3_2024,2024-10-15,Citigroup,transcript,"Jane Fraser (CEO)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 14",internal,False,Positive
"And there's no hard rule on – sorry, go ahead.",quarter,Mark Mason,CFO,14,Q and A,Q3_2024,2024-10-15,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 14",internal,False,Neutral
"Yes, there isn't a hard rule on you have to have got four quarters after you have separated.",quarter,Jane Fraser,CEO,14,Q and A,Q3_2024,2024-10-15,Citigroup,transcript,"Jane Fraser (CEO)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 14",internal,False,Neutral
"I see. Okay. That's super helpful. We just haven't had that many of these, so that's helpful.",quarter,Matt O'Connor,Analyst,14,Q and A,Q3_2024,2024-10-15,Citigroup,transcript,"Matt O'Connor (Analyst)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 14",internal,False,Neutral
"And then just separately I think in the prepared remarks you guys mentioned a modest provision within Services for some of the unremitted corporate dividends and I just wanted to clarify that and what country is that. And I guess I thought there wasn't really much liability to you guys from that, so any clarification on that. I know it's a small amount, but that would be helpful. Thank you.",quarter,Matt O'Connor,Analyst,14,Q and A,Q3_2024,2024-10-15,Citigroup,transcript,"Matt O'Connor (Analyst)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 14",internal,False,Neutral
"Sure. It's a small amount. In the back of the deck, we have a page on Russia exposure. It's related to that.",quarter,Mark Mason,CFO,14,Q and A,Q3_2024,2024-10-15,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 14",internal,False,Neutral
"Okay. But still feel like there's not risk to you guys from all those kind of trapped dividends, I guess why take a small reserve if there's legally no risk to you guys?",quarter,Matt O'Connor,Analyst,14,Q and A,Q3_2024,2024-10-15,Citigroup,transcript,"Matt O'Connor (Analyst)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 14",internal,False,Neutral
"Well, it's the way we treat the exposure there. We're following the guidelines on how we need to treat exposures in the country that we aren't able to distribute to clients but we actually have to hold on their behalf.",quarter,Mark Mason,CFO,15,Q and A,Q3_2024,2024-10-15,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 15",internal,False,Neutral
And so we have to book a reserve associated with that and so we do that. We obviously show on the page what the exposure is in the event of a loss of control and you can kind of see how that ultimately nets out but we're following the appropriate guidelines for what's required for reserves of that nature.,quarter,Mark Mason,CFO,15,Q and A,Q3_2024,2024-10-15,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 15",internal,False,Neutral
Got it. Okay. Thank you.,quarter,Matt O'Connor,Analyst,15,Q and A,Q3_2024,2024-10-15,Citigroup,transcript,"Matt O'Connor (Analyst)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 15",internal,False,Neutral
Yeah.,quarter,Mark Mason,CFO,15,Q and A,Q3_2024,2024-10-15,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 15",internal,False,Neutral
Our next question comes from the line of Ryan Kenny with Morgan Stanley. Your line is now open. Please go ahead.,quarter,OPERATOR,Other,15,Q and A,Q3_2024,2024-10-15,Citigroup,transcript,"OPERATOR (Other)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 15",internal,False,Neutral
Hey. Thanks for taking my question. I have one for Mark. So you mentioned that Services NII is a tailwind as rates decline. Can you just unpack how that happens? Is there any benefit from swap roll-off or a floating swap that we should be thinking about that's embedded in that statement?,quarter,Ryan Kenny,Analyst,15,Q and A,Q3_2024,2024-10-15,Citigroup,transcript,"Ryan Kenny (Analyst)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 15",internal,False,Neutral
"There are a couple of things kind of to keep in mind on the Services business. So, one is, is obviously this is a client business. It's not just a deposit taking business and so how we think about pricing to those client becomes really important.",quarter,Mark Mason,CFO,15,Q and A,Q3_2024,2024-10-15,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 15",internal,False,Neutral
"You've got the US and non-US dynamic that's playing through. For institutional clients, we've largely been holding to the higher betas that we saw as rates have ticked up. Again, with the relationship in mind.",quarter,Mark Mason,CFO,15,Q and A,Q3_2024,2024-10-15,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 15",internal,False,Neutral
And we have some offsetting pressure outside of the US as those betas kind of catch up.,quarter,Mark Mason,CFO,15,Q and A,Q3_2024,2024-10-15,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 15",internal,False,Negative
But I think importantly you also heard me mention the reinvestment into securities at higher yields and that reinvestment or those higher yields ultimately play out through the businesses and so that will show up as part of kind of NII as we think about Services but the other businesses as well.,quarter,Mark Mason,CFO,15,Q and A,Q3_2024,2024-10-15,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 15",internal,False,Neutral
And so those are important components of the NII story for Services.,quarter,Mark Mason,CFO,15,Q and A,Q3_2024,2024-10-15,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 15",internal,False,Neutral
"I think when you look at the in-quarter performance and [TTS] NII is down 5%, a big part of that is driven by the Argentina rates movement in the quarter versus last year, so lower rates we're earning in Argentina playing through that line particularly in this quarter.",quarter,Mark Mason,CFO,15,Q and A,Q3_2024,2024-10-15,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 15",internal,False,Negative
"If you adjusted for that on the NII line, it would be flat to slightly a little bit better.",quarter,Mark Mason,CFO,15,Q and A,Q3_2024,2024-10-15,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 15",internal,False,Positive
So that's really what it is. It's kind of management of client relationships as well as the higher earnings on reinvested securities contributing to that as well as volume from operating account growth that we expect.,quarter,Mark Mason,CFO,15,Q and A,Q3_2024,2024-10-15,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 15",internal,False,Positive
Thank you.,quarter,Ryan Kenny,Analyst,15,Q and A,Q3_2024,2024-10-15,Citigroup,transcript,"Ryan Kenny (Analyst)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 15",internal,False,Neutral
Our next question comes from the line of Saul Martinez with HSBC. Your line is now open. Please go ahead.,quarter,OPERATOR,Other,15,Q and A,Q3_2024,2024-10-15,Citigroup,transcript,"OPERATOR (Other)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 15",internal,False,Neutral
"Hey, guys. Couple quick questions. First, just a follow-up on Banamex. Jane, as you know, there are concerns about judicial reform in Mexico and the implications for rule of law and Mexican asset prices have suffered as a result. I think the largest Mexican bank trades at something in the neighborhood of seven times earnings. If market conditions don't improve and Mexican asset prices remain depressed and these concerns persist, then what? I mean, do you just wait until market conditions improve or how do you think about this process in the context of what seems to be a deteriorating macro backdrop for Mexico.",quarter,Saul Martinez,Analyst,15,Q and A,Q3_2024,2024-10-15,Citigroup,transcript,"Saul Martinez (Analyst)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 15",internal,False,Negative
"Yeah. We've got to wait and see what the market conditions will be but the North Star for me and for Mark is crystal clear, it is optimizing and maximizing our shareholder value.",quarter,Jane Fraser,CEO,15,Q and A,Q3_2024,2024-10-15,Citigroup,transcript,"Jane Fraser (CEO)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 15",internal,False,Positive
So if the conditions are not appropriate at that time then we will wait until they are.,quarter,Jane Fraser,CEO,15,Q and A,Q3_2024,2024-10-15,Citigroup,transcript,"Jane Fraser (CEO)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 15",internal,False,Neutral
"In the meantime, the business is performing well. It's accretive to our returns. It's not a drag here in any shape or form so there is no need to rush for a suboptimal result here.",quarter,Jane Fraser,CEO,15,Q and A,Q3_2024,2024-10-15,Citigroup,transcript,"Jane Fraser (CEO)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 15",internal,False,Positive
"But we will IPO and we will exit Banamex, but we won't do that in a reckless manner.",quarter,Jane Fraser,CEO,15,Q and A,Q3_2024,2024-10-15,Citigroup,transcript,"Jane Fraser (CEO)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 15",internal,False,Neutral
We will be disciplined about it as you would expect us to be and as I think we're demonstrating that we are on multiple different dimensions.,quarter,Jane Fraser,CEO,15,Q and A,Q3_2024,2024-10-15,Citigroup,transcript,"Jane Fraser (CEO)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 15",internal,False,Positive
"Okay. Fair enough. And then I guess a follow-up on the US Personal Banking, RoTCE improvement and the normalization of the cost of credit seems to be a big component of that. But Mark can you just remind us where you are in terms of cost of credit versus what you would think a more normalized level is for Branded Cards and Retail Services. I guess how much of a tailwind does a more normalized credit environment entail in terms of credit cost?",quarter,Saul Martinez,Analyst,16,Q and A,Q3_2024,2024-10-15,Citigroup,transcript,"Saul Martinez (Analyst)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 16",internal,False,Neutral
"Again, I don't want to get into 2025 at this stage. I assure you, we will give more color and commentary on that as we get into the fourth quarter earnings in January.",quarter,Mark Mason,CFO,16,Q and A,Q3_2024,2024-10-15,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 16",internal,False,Neutral
"What I will say again, as you think about these businesses, we do see continued top line – we do expect continued top line momentum.",quarter,Mark Mason,CFO,16,Q and A,Q3_2024,2024-10-15,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 16",internal,False,Positive
"We've had eight consecutive quarters of positive operating leverage in USPB, 49% [efficiency ratio] this quarter. So we're managing the expense base well. We think there's more upside to the top line.",quarter,Mark Mason,CFO,16,Q and A,Q3_2024,2024-10-15,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 16",internal,False,Positive
"We're very focused on growth across the portfolios and I do think that cost of credit again, if for no other reason but the compounding effect of those vintages maturing as well as kind of inflation starting to come off, rates trickling down, that should be better for the consumer and should start to play out in both the macroeconomic scenarios that we run for CECL purposes but also ultimately in delinquencies and NCLs and we're starting to see that improvement in delinquencies and its stabilization already somewhat.",quarter,Mark Mason,CFO,16,Q and A,Q3_2024,2024-10-15,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 16",internal,False,Positive
So I don't want to get into guidance. But that's kind of how I think about the drivers or contributors to improve returns over the medium term.,quarter,Mark Mason,CFO,16,Q and A,Q3_2024,2024-10-15,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 16",internal,False,Positive
Our next question will come from the line of Mike Mayo with Wells Fargo. Your line is now open. Please go ahead.,quarter,OPERATOR,Other,16,Q and A,Q3_2024,2024-10-15,Citigroup,transcript,"OPERATOR (Other)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 16",internal,False,Neutral
"Hi. Thanks for the clarification on the asset cap question that I asked earlier. And I know you are limited in how much you can say about regulators but just be clear, because a lot of e-mail traffic going back, you did say there is no asset cap and you don't expect one and you don't expect other additional actions at this time?",quarter,Mike Mayo,Analyst,16,Q and A,Q3_2024,2024-10-15,Citigroup,transcript,"Mike Mayo (Analyst)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 16",internal,False,Neutral
Correct.,quarter,Jane Fraser,CEO,16,Q and A,Q3_2024,2024-10-15,Citigroup,transcript,"Jane Fraser (CEO)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 16",internal,False,Neutral
"Okay. Thank you for clarifying that. And I guess, look, I have great respect, I'm an ex-regulator, Paul Volcker was my hero. I respect regulators.",quarter,Mike Mayo,Analyst,16,Q and A,Q3_2024,2024-10-15,Citigroup,transcript,"Mike Mayo (Analyst)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 16",internal,False,Neutral
And nobody wants to see you cut corners to get to your $51 billion to $53 billion of expenses.,quarter,Mike Mayo,Analyst,16,Q and A,Q3_2024,2024-10-15,Citigroup,transcript,"Mike Mayo (Analyst)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 16",internal,False,Neutral
"But I'm just wondering – and you have consolidated systems apps, layers, bureaucracy and you're divesting lots of activities.",quarter,Mike Mayo,Analyst,16,Q and A,Q3_2024,2024-10-15,Citigroup,transcript,"Mike Mayo (Analyst)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 16",internal,False,Neutral
"So it's just even the amended consent order was surprising because you have taken so many efforts and if you should have had an amended consent order or other actions, they probably should have been in place one, five, 10 or literally 20 years ago. And so that's just confusing on the outside.",quarter,Mike Mayo,Analyst,16,Q and A,Q3_2024,2024-10-15,Citigroup,transcript,"Mike Mayo (Analyst)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 16",internal,False,Negative
"So with that said, is this a matter of spending more money or about doing these tasks more intelligently?",quarter,Mike Mayo,Analyst,16,Q and A,Q3_2024,2024-10-15,Citigroup,transcript,"Mike Mayo (Analyst)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 16",internal,False,Neutral
"In other words, you put more gas in the tank, the car's not going faster. So is it amount of resources or just being more intelligent in terms of resolving some of these regulatory issues?",quarter,Mike Mayo,Analyst,16,Q and A,Q3_2024,2024-10-15,Citigroup,transcript,"Mike Mayo (Analyst)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 16",internal,False,Neutral
"So let me break it down to a couple of pieces. So I start off just remind everyone the consent orders are very, very broad and the action that was taken was because we're behind in a narrower area which is the data particularly regarding our regulatory reporting where we're behind is the main area of focus.",quarter,Jane Fraser,CEO,16,Q and A,Q3_2024,2024-10-15,Citigroup,transcript,"Jane Fraser (CEO)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 16",internal,False,Neutral
We moved swiftly to address it. We're very transparent about it from early on in the year that we were falling behind on this and overall I'm pleased with our progress.,quarter,Jane Fraser,CEO,16,Q and A,Q3_2024,2024-10-15,Citigroup,transcript,"Jane Fraser (CEO)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 16",internal,False,Positive
"And as you say, Mike, I listed a number of areas of progress and trying to make it as tangible as we can, given what we can and can't say as this is supervisory.",quarter,Jane Fraser,CEO,16,Q and A,Q3_2024,2024-10-15,Citigroup,transcript,"Jane Fraser (CEO)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 16",internal,False,Neutral
"I'm pleased that our businesses continue to improve their performance while the transformation is going on. They're the two priorities we have this year so I think effectively, yes, we can walk and chew gum at the same time and the huge benefit of all of the simplification on the business, on the organization, the other efforts, is making it easier for us to execute and be very focused.",quarter,Jane Fraser,CEO,16,Q and A,Q3_2024,2024-10-15,Citigroup,transcript,"Jane Fraser (CEO)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 16",internal,False,Positive
"And well maybe, Mark, I’ll pass it over to you.",quarter,Jane Fraser,CEO,16,Q and A,Q3_2024,2024-10-15,Citigroup,transcript,"Jane Fraser (CEO)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 16",internal,False,Neutral
"I think your question's helpful in the sense that you said is it kind of a rethink on our approach or is it the need to spend more money and one of the things that we've done, Mike, is take a step back and look at how we've been approaching data, for example.",quarter,Mark Mason,CFO,17,Q and A,Q3_2024,2024-10-15,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 17",internal,False,Neutral
