bank,quarter,speaker,role,paragraph,word_count,page_number,sequence,confidence,topic_category
Citigroup,Fourth Quarter 2024,ERIKA NAJARIAN,OTHER,"Got it. And just my second question, as we think about 2026. And again, I don't want to
put words in your mouth because clearly, it's very critical in terms of your targets and hitting them. So you
targeted less than $53 billion. Is it fair to assume like Jim was asking that $51 billion to $53 billion is not the
target, but it's less than $53 billion? But to that end, I mean just taking a step back, I think, Jane, you said
something very important in that want to get to the returns in a sustainable way. And clearly, your
shareholders are scarred by previous management when the returns went up to double digits and went back
tumbling down and wasn't sustainable. And should we just really think of this as, look, like it takes a while to
turn around a money center bank and 2026 may have been the target in 2022, but we're going to get there
in 2027, 2028 anyway, and just doing this in a sustainable way, and we're not robbing the bank of
investments.
Copyright © 2025 Citigroup Inc. 11",187,11,36,0.6,qa_session
Citigroup,Fourth Quarter 2024,JANE FRASER,OTHER,"Erika, we chose the words very carefully to say that 2026 is a way point, it's not the
destination. And when I'm looking at it, I'm looking out to 2027, 2028, what is the bank we want to be in
terms of our strategy, our performance, our culture, all those different dimensions. And we just relentlessly
keep going down that path, but we're going to take the right and responsible decisions as we go down it. So
our potential is for more than our medium-term target RoTCE, the potential of the bank and the journey that
we're on is to improve our returns beyond there, for sure.
And then you asked a question about Banamex. So, on that front, look, we had a singular focus on the
separation of two banks, that was an enormous body of work because we had to put up Mexico's eighth
largest Bank de Novo in a very short period of time. It got done December 1, that was over 100 regulatory
approvals to get that done. Now we have turned our full attention to the IPO. We're getting ready to be able
to IPO as soon we can. But given market conditions and given regulatory approvals, it's possible this could
go into 2026, but we're doing everything in our control to be ready as soon as possible. We are not the right
owner of the bank. We are committed to the simplification of Citi. We will follow a responsible process here.",247,12,37,0.6,qa_session
Citigroup,Fourth Quarter 2024,MARK MASON,OTHER,"And just in terms of the impact and the timing that Jane referenced, just keep in in mind that
the financial impact of exiting Banamex comes two forms. One is the gain or loss on sale and two is the risk-
weighted asset release. The gain or loss on sale will run through the P&L at deconsolidation, so that's the
point where we've gotten, or we've",66,12,38,0.6,risk_discussion
Citigroup,Fourth Quarter 2024,IPO,MODERATOR,"Our next question will come from Gerard Cassidy with RBC Capital Markets. Your line is now
open, please go ahead.",20,12,39,0.8,qa_session
Citigroup,Fourth Quarter 2024,GERARD CASSIDY,OTHER,"Jane, I'll pass on the haggis, but I'll take you up on the whiskey.",14,12,40,0.6,general_discussion
Citigroup,Fourth Quarter 2024,JANE FRASER,OTHER,I didn't say I was buying just to be clear.,10,12,41,0.6,general_discussion
Citigroup,Fourth Quarter 2024,GERARD CASSIDY,OTHER,"Okay, I got it. Our expense report on this end. Anyway, just following up, Mark, on your
comments about the IPO with Banamex. Can you guys remind us, or refresh our memories, on when the IPO
process starts, once it goes public, what percentage ownership do you guys expect to have? And second,
have you given us any color on whether you expect to report a gain on this transaction or a loss as you just
referenced, that will go through the P&L?",83,12,42,0.6,guidance
Citigroup,Fourth Quarter 2024,MARK MASON,OTHER,"We haven't given any sense for the exact timing of that. As you know, this is a process. And
so Jane just spoke to the timing of that process, the first step, having been completed on December 1 with
the separation, we are now obviously gearing up and readying ourselves for the IPO. There'll obviously be
important filings associated with that given our intent to dual list, there will be regulatory approvals that are
required kind of as we make headway with potential investors as part of the IPO process.
And so there are a series of IPO steps that we will need to take over the course of the year in order to continue
to ready ourselves and there are things that we don't control. Like as Jane mentioned, the regulatory approval
process and timing for that as well as the market conditions. And so all of those factors are important. And
then how the IPO occurs in terms of percentage that is taken on at that first tranche versus follow-on
tranches are important factors on when we get to deconsolidation. And so I haven't given you an exact timing
on that but you can envision kind of 15% tranches that happen over kind of a 12-, 18-month, 24-month
period. And then obviously reaching a point of deconsolidation at which point that currency translation
adjustment starts to flow through the P&L. There's no material impact on capital, but it does flow through
the P&L. And then ultimately, we exit 100% over the course of time.
Copyright © 2025 Citigroup Inc. 12",262,12,43,0.6,general_discussion
Citigroup,Fourth Quarter 2024,GERARD CASSIDY,OTHER,"Well, I appreciate the insights. And then as a follow-up question, and I really don't mean
this as a ‘what have you done for me lately?’ type of question because you guys have made so much progress
in what you're doing in your strategic changes here. But can you talk about the U.S. Personal Banking, many
of your questions today is about the RoTCE consolidated and how you can improve that, and this business
has a very low RoTCE as you guys know, below your cost of capital. And structurally, when you look at it, if
you look at the loans at the end of period just over $220 billion, your deposits about $90 billion, which is
quite a bit different than your peers who have much higher ROEs. So how do you approach this business?
And again, I know you've been very busy divesting a lot of the businesses that are not important, but it seems
to me that this is a giant hurdle that you guys have to approach at some point in the near future.",178,13,44,0.6,qa_session
Citigroup,Fourth Quarter 2024,JANE FRASER,OTHER,"Let me just chat a bit through this. So what’s the path to the higher returns in U.S. Personal
Banking, it’s coming from top line revenue growth, improved expense base and also a lot more normalized
credit environment, and that gets us to the mid- to high-teen returns in the medium term. I think we feel very
confident and comfortable in that. You're seeing the proof points I talked about Banking, Wealth earlier,
we’ve had another good quarter of revenue growth, had the ninth consecutive quarter of positive operating
leverage. So I think you should be getting some comfort around that.
What's going to drive that growth? Co-brands, we just extended with American to be their sole issuer. It's
going to give exciting benefits to the American Airlines and the Citi cardholders. And it will be beneficial for
both our growth and our returns. In the proprietary front, we're investing. There's a lot of investment in
innovation to drive growth. The refreshed Strata Premier Card, we've been enhancing the reward offerings
and you're seeing us often now #1 in recognitions and awards around that area. Retail Services being
forensically focused on improving the partnership economics and driving top line growth. And then Retail
Banking, there we're driving primary checking growth, we’ve put in simplified banking, so we get a much more
streamlined customer proposition that's driving more of a relationship-based banking approach as opposed
to a transactional one.
Importantly as well, the Retail Bank has been feeding our Wealth business. I think you heard me earlier
talking about that almost $3 trillion “off us” investment opportunity that we have from the retail banking
customer base. We transferred $17 billion of deposits from USPB to Wealth, so you've got to take that, those
dynamics into account. So I hope you're taking from me, I feel confident in our ability to get to the medium-
term targets we set for the business of mid- to high-teens. I feel comfortable about the growth trajectory
that we've got based off the innovations we're putting through and the changes. And good expense discipline
and a better credit environment. So when you look at the mix of our business, I think you'll see us performing
nicely here.",371,13,45,0.6,financial_results
Citigroup,Fourth Quarter 2024,OPERATOR,MODERATOR,"Our next question comes from the line of Matt O'Connor with Deutsche Bank. Your line is now
open, please go ahead.
MATT O’",23,13,46,0.6,qa_session
Citigroup,Fourth Quarter 2024,CONNOR,OTHER,"Hi, I just want to follow up on Page 9 where you break out the technology and
Transformation investment spend. And sorry if I missed this, but did you talk about the pace of those two
levels in your 2025 and 2026 expense guidance? I know directionally, you said it's going up. But did you give
a magnitude?",58,13,47,0.6,guidance
Citigroup,Fourth Quarter 2024,MARK MASON,OTHER,"I did not. Obviously, for both technology and Transformation those are areas that we are
going to continue to invest in for all the reasons that we've mentioned. They obviously contribute to the
number in 2025 being slightly down from the $53.8 billion, but they also represent, as I mentioned, what we
believe is required to kind of get the work done that we need to get done. And so those numbers will increase.
There are lots of puts and takes, as you know, through an annual expense forecast, right, including, as you
would expect, we've got volume, we’ve got revenue growth here that's going to come with volume growth.
Volume, incentive comp, there's merit increases that go with that. And then we also have a series of
Copyright © 2025 Citigroup Inc. 13",134,13,48,0.6,financial_results
Citigroup,Fourth Quarter 2024,CONNOR,OTHER,"And I guess, like how do you know that the recent increase that you're modeling internally
in these areas, how do you know you're spending enough and in the right ways to address your goals in the
Transformation and also satisfy the regulatory requirements?",44,14,49,0.6,general_discussion
Citigroup,Fourth Quarter 2024,JANE FRASER,OTHER,"Well, if I jump in, I feel very confident indeed that we know what we need to do. We know what
we need to be spending on. Through the annual planning process that that concluded last month, it was
clear we did need to invest more. We increased the scope of some of the work on the data front. We brought
some other work forward. We looked at what we needed to do on the technology front and some of the
critical investments. So this is pretty forensic and when we're looking at Transformation, we're looking at
technology, we know what our target states need to be, and we know what we need to do to get there and
the outcomes we need to be delivering.
So we've got our arms around this, and I think you're hearing that confidence from us around what we need
to do. We know the investments we need to make. You know what the outcomes and the benefits for
shareholders and the regulatory side need to be.",173,14,50,0.6,general_discussion
Citigroup,Fourth Quarter 2024,OPERATOR,MODERATOR,"Our next question comes from the line of Saul Martinez with HSBC. Your line is now open,
please go ahead.",20,14,51,0.6,qa_session
Citigroup,Fourth Quarter 2024,SAUL MARTINEZ,OTHER,"Mark, the NII ex-Markets outlook, if I just take the fourth quarter and annualize that, I get
to something in the neighborhood of, I think, around $47.4 billion, $47.5 billion which is above the full year
2024 level. I'm not sure exactly what “up modestly” means, if that's 1%, 3%, 4%, but, and correct me if you
think I’m wrong, but it seems like maybe there's a little bit of conservatism built in? If you can just comment
on how you think, and how we should think about the quarterly trajectory of NI ex-Markets? Obviously,
there's a day count issue in 1Q, but maybe how do you think through like, how we should expect that NII to
evolve over the course of the year?",124,14,52,0.6,guidance
Citigroup,Fourth Quarter 2024,MARK MASON,OTHER,"I mean, why don't I just kind of cut to the chase on it a little bit, Saul, in the sense that, “up
modestly”, call it a couple of percentage points, 2 to 3 percentage points or so, right, in terms of how I think
about it. And I think I've taken, I’ve gone through kind of the tailwinds and headwinds, so I won't kind of take
you through that again. But I think the important takeaway should be that we're going to see continued
momentum across the franchise driven by loan growth in the Branded Card side of the business and
continued deposit momentum, particularly operating deposits in Services. And we're going to do everything
that we always do around the management of pricing, and we'll get a benefit from how we've been managing
our investment portfolio as those things mature. The combination of those efforts will offset, more than
offset some of the headwinds that you'd expect in a declining rate environment, and modestly is, call it, 2%
to 3%.",172,14,53,0.6,guidance
Citigroup,Fourth Quarter 2024,SAUL MARTINEZ,OTHER,"Okay. Fair enough. And then on the expense outlook getting to below $53 billion in 2026,
I know that's consistent with what you've said in the past, does imply a pretty sharp reduction in 2026,
especially in light of continued revenue growth, it's pretty material operating leverage. Just I mean, how much
benefit do you get from a more normalized severance? In other words, how much are we thinking about
severance coming down? What's sort of the impact or how to think about the Legacy, stranded costs coming
down? Just maybe a little bit more meat on the bone in terms of how much these items will benefit 2026
versus 2025?",111,14,54,0.6,financial_results
Citigroup,Fourth Quarter 2024,MARK MASON,OTHER,"Look, a couple of things. As I look at our severance costs, which, as I mentioned, has been
running high, it was $700 million, we're forecasting $600 million in 2025. I think kind of normal through the
cycle is probably, call it, $300 million or so. And so that gives you some sense for that. I think the other thing
Copyright © 2025 Citigroup Inc. 14",66,14,55,0.6,guidance
Citigroup,Fourth Quarter 2024,OPERATOR,MODERATOR,"Our final question will come from the line of Mike Mayo with Wells Fargo. Your line is now open,
please go ahead.",22,15,56,0.6,qa_session
Citigroup,Fourth Quarter 2024,MIKE MAYO,OTHER,"Hi, this is your first full year of having the five line of business structure. So, Mark, do you still
have the same line of business targets that you had last year? And Jane, with all the, it must have been a
degree of hell to organize this way, get rid of your two intercompany holding companies, eliminate five layers
of management, expand span of control and you guys went through a lot last year. And I'm just wondering,
is the worst over in terms of that kind of reorganization internally and the culture and the sentiment and how
you see that continuing? But first, the concrete question about the targets, please.",112,15,57,0.6,qa_session
Citigroup,Fourth Quarter 2024,MARK MASON,OTHER,"So I guess I'll start first. So in terms of the targets, look, we set the targets across each of the
lines of business for the medium term. We've obviously brought down the 2026 to 10% to 11%. And so you'd
imagine there's some movement, at least for the 2026 in terms of those targets, Banking will likely be a little
bit lower than the mid-15%, if I think about 2026 as being that medium-term target date. But over time, I
expect that the targets that I've set are the targets that we will achieve and even more because, as Jane
mentioned, 10% to 11%, while that's our 2026 target, it is not our longer-term target as we think about RoTCE
and the strength of these businesses in the aggregate franchise. So hopefully, that answers your question.",137,15,58,0.6,guidance
Citigroup,Fourth Quarter 2024,JANE FRASER,OTHER,"And in terms of org simplification, culture, the best is still ahead, that is for sure. The org went
through a lot. I'm really proud of how people responded. And I think we're really proud of how each of the
lines of business are driving the business performance forward. The bank is simpler. There is tremendous
transparency for our investors as well as for me. There's much greater proximity to the businesses now. And
you can see that the benefits that we're starting to realize from the strategy as we get closer and closer to the
RoTCE targets and beyond for each of the businesses. So I'm pleased to have 2024 behind us. I'm proud of
what we achieved in 2024. All the focus is on the future. Onwards.",129,15,59,0.6,general_discussion
Citigroup,Fourth Quarter 2024,OPERATOR,MODERATOR,There are no further questions. I'll now turn the call over to Jenn Landis for closing remarks.,17,15,60,0.6,qa_session
Citigroup,Fourth Quarter 2024,JENNIFER LANDIS,OTHER,"Thank you, everyone. Please call us or email us if you have any follow-up questions. Have
a great afternoon. Thank you.",21,15,61,0.6,opening_remarks
Citigroup,Fourth Quarter 2024,OPERATOR,MODERATOR,"This concludes Citi's Fourth Quarter 2024 Earnings Call. You may now disconnect.
Copyright © 2025 Citigroup Inc. 15",18,15,62,0.6,financial_results
Citigroup,Fourth Quarter 2024,Unknown Speaker,Unknown,"T R A N S C R I P T
Citi Fourth Quarter 2024 Earnings Call
January 15, 2025
Certain statements in this transcript are “forward-looking statements” within the meaning of the U.S.
Private Securities Litigation Reform Act of 1995. These statements may be identified by words such as
believe, expect, anticipate, intend, estimate, may increase, may fluctuate, target, illustrative and similar
expressions or future or conditional verbs such as will, should, would and could. These statements are
based on management's current expectations and are subject to uncertainty and changes in circumstances
and are not guarantees of future results or occurrences. Actual results and capital and other financial
condition may differ materially from those included in these statements due to a variety of factors. These
factors include, among others: (i) geopolitical, macroeconomic and other challenges and uncertainties,
including those related to potential changes to policies and in other priorities resulting from the new U.S.
administration and Congress, changes in interest rate policies, economic growth and unemployment rates,
any resurgence in inflation, the Russia-Ukraine war and conflicts in the Middle East; (ii) the execution and
efficacy of Citi’s transformation, simplification and other priorities, including those related to its
investment, expense, capital and other revenue-related actions; (iii) the potential outcomes of the
extensive legal and regulatory proceedings, examinations, investigations, consent orders and related
compliance efforts and other inquiries to which Citi is or may be subject; (iv) ongoing regulatory and
legislative uncertainties and changes, including changes in regulatory capital rules, requirements or
interpretations; and (v) the precautionary statements included in this transcript. These factors also consist
of those contained in Citigroup's filings with the U.S. Securities and Exchange Commission, including
without limitation the “Risk Factors” section of Citigroup's 2023 Form 10-K. Any forward-looking
statements made by or on behalf of Citigroup speak only as to the date they are made, and Citi does not
undertake to update forward-looking statements to reflect the impact of circumstances or events that arise
after the date the forward-looking statements were made.
Copyright © 2025 Citigroup Inc. 16",341,16,63,0.3,financial_results
