text,bank,source,article_title,publication_date,is_comparative,document_type,reference,source_type
"Despite Citi lagging behind its rivals on return to tangible equity, about 70 per cent of Wall Street analysts have assigned the bank a ""buy"" rating.",Citigroup,Stephen Gandel,Wall Street doubts Citi chief Jane Fraser can hit crucial target,2025-01-08,False,news,"News article by Stephen Gandel
Title: Wall Street doubts Citi chief Jane Fraser can hit crucial target, published 2025-01-08",external
"""The outcomes for Jane are about as wide as you can get,"" said Wells Fargo analyst Mike Mayo, who recently predicted Citi would reach its return on tangible equity target, but not until 2027.",Citigroup,Stephen Gandel,Wall Street doubts Citi chief Jane Fraser can hit crucial target,2025-01-08,False,news,"News article by Stephen Gandel
Title: Wall Street doubts Citi chief Jane Fraser can hit crucial target, published 2025-01-08",external
"Fraser, a Citi veteran and former McKinsey partner, has sought to meet her profitability target by streamlining the sprawling bank. Citi has exited consumer banking in 13 countries, including China, India and the UK.",Citigroup,Stephen Gandel,Wall Street doubts Citi chief Jane Fraser can hit crucial target,2025-01-08,False,news,"News article by Stephen Gandel
Title: Wall Street doubts Citi chief Jane Fraser can hit crucial target, published 2025-01-08",external
"Fraser has also flattened Citi's management structure, cutting down its levels of seniority from 13 to eight. And she has refocused the bank around five core businesses, as well as its mission to woo the world's largest companies and wealthiest individuals to become clients.",Citigroup,Stephen Gandel,Wall Street doubts Citi chief Jane Fraser can hit crucial target,2025-01-08,False,news,"News article by Stephen Gandel
Title: Wall Street doubts Citi chief Jane Fraser can hit crucial target, published 2025-01-08",external
"Moynihan was the sixth child, growing up in Ohio in a family of scientists, his father working for the chemicals group, DuPont. He opted for a different path, training as a lawyer and eventually choosing a career that would take him to the summit of Wall Street – and a friendship with King Charles as the chief executive of Bank of America.",Bank of America,Matthew Garrahan,"BofA's CEO on Trump, King Charles and keeping the brakes on risk",2025-01-13,False,news,"News article by Matthew Garrahan
Title: BofA's CEO on Trump, King Charles and keeping the brakes on risk, published 2025-01-13",external
"This month marks 15 years since Moynihan took that job and back in January 2010 the world looked rather different. The global economy was still reeling from the financial crisis, BofA was carrying billions of dollars in bad mortgage assets and a febrile mood had gripped Wall Street. BofA needed a calm figure to lead the clean-up, put the bank back on an even keel and restore investor confidence. It chose Moynihan, who would become Wall Street's quiet man: lacking the brashness of some of his peers, he has pursued a strategy he calls “responsible growth”, shunning many of the riskiest bets in an attempt to avoid the pitfalls of the pre-crisis era.",Bank of America,Matthew Garrahan,"BofA's CEO on Trump, King Charles and keeping the brakes on risk",2025-01-13,False,news,"News article by Matthew Garrahan
Title: BofA's CEO on Trump, King Charles and keeping the brakes on risk, published 2025-01-13",external
"It is a strategy that has largely paid off: from its post-crisis lows, BofA has grown to a market capitalisation around $350bn and is the second-largest US bank, behind JPMorgan. However, the shares of more aggressive rivals with larger investment banking divisions have performed better: for example JPMorgan's share price has risen twice as much as BofA's since the start of 2010.",JPMorgan,Matthew Garrahan,"BofA's CEO on Trump, King Charles and keeping the brakes on risk",2025-01-13,True,news,"News article by Matthew Garrahan
Title: BofA's CEO on Trump, King Charles and keeping the brakes on risk, published 2025-01-13",external
"It is a strategy that has largely paid off: from its post-crisis lows, BofA has grown to a market capitalisation around $350bn and is the second-largest US bank, behind JPMorgan. However, the shares of more aggressive rivals with larger investment banking divisions have performed better: for example JPMorgan's share price has risen twice as much as BofA's since the start of 2010.",Bank of America,Matthew Garrahan,"BofA's CEO on Trump, King Charles and keeping the brakes on risk",2025-01-13,True,news,"News article by Matthew Garrahan
Title: BofA's CEO on Trump, King Charles and keeping the brakes on risk, published 2025-01-13",external
"BofA has in recent years taken on more risk, such as building up its markets division. But with the US economy motoring along and incoming president Donald Trump promising a bonfire of regulation, is now the time to take on even more? No, Moynihan says flatly. “We run the company the same way we always run it.""",Bank of America,Matthew Garrahan,"BofA's CEO on Trump, King Charles and keeping the brakes on risk",2025-01-13,False,news,"News article by Matthew Garrahan
Title: BofA's CEO on Trump, King Charles and keeping the brakes on risk, published 2025-01-13",external
"“You've seen that [pushback] happen in other countries”, where people reject being “controlled"" and told ""what to do"", he says. He thinks this happened in the US election and says BofA will ""be the beneficiary of that movement”.",Bank of America,Matthew Garrahan,"BofA's CEO on Trump, King Charles and keeping the brakes on risk",2025-01-13,False,news,"News article by Matthew Garrahan
Title: BofA's CEO on Trump, King Charles and keeping the brakes on risk, published 2025-01-13",external
"The clean up operation in his first few years in charge was arduous, as BofA took big charges and struggled to digest the difficult acquisition of Merrill Lynch. “We disposed of about 50 different operating businesses. We disposed of hundreds of billions of dollars of assets. We had $50bn in private equity we got rid of.""",Bank of America,Matthew Garrahan,"BofA's CEO on Trump, King Charles and keeping the brakes on risk",2025-01-13,False,news,"News article by Matthew Garrahan
Title: BofA's CEO on Trump, King Charles and keeping the brakes on risk, published 2025-01-13",external
"Moynihan tightened the focus on core consumer banking, wealth management, and global corporate investment businesses. “I never doubted the company at all, because we had great people [he calls BofA employees ‘teammates'], great customers, a great franchise and great earnings power. We had a $21bn charge in a single quarter, and I still think we made money that year.”",Bank of America,Matthew Garrahan,"BofA's CEO on Trump, King Charles and keeping the brakes on risk",2025-01-13,False,news,"News article by Matthew Garrahan
Title: BofA's CEO on Trump, King Charles and keeping the brakes on risk, published 2025-01-13",external
"A timely 2011 investment from Warren Buffett sharpened investor minds about the bank's underlying value. “He called and said: I want to put $5bn in.” That year the US “was pretty close to defaulting on its debt”. He told Buffett that BofA did not need the capital. “He said: I know you don't. That's why I'm calling.” Buffett would invest $5bn, striking a deal for a stake with warrants attached that allowed him to eventually buy the shares at $7. They were trading at $5.50 at the time; six years later, when the shares had risen to $24, Buffett used the warrants in a trade that made Berkshire Hathaway billions of dollars.",Bank of America,Matthew Garrahan,"BofA's CEO on Trump, King Charles and keeping the brakes on risk",2025-01-13,False,news,"News article by Matthew Garrahan
Title: BofA's CEO on Trump, King Charles and keeping the brakes on risk, published 2025-01-13",external
"Buffett swooped again for BofA shares in 2020, when markets crashed in the Covid pandemic. The Sage of Omaha has sold down some of his stake recently; the shares these days trade around $44. Moynihan says they have talked “a lot” over the years. “We'd talk about what we see out in the world every once in a while. He doesn't need to sit there and say: tell me what you're doing, because he made [the investment] in the company and the people and us.""",Bank of America,Matthew Garrahan,"BofA's CEO on Trump, King Charles and keeping the brakes on risk",2025-01-13,False,news,"News article by Matthew Garrahan
Title: BofA's CEO on Trump, King Charles and keeping the brakes on risk, published 2025-01-13",external
"But with signs that corporate America may retreat from climate goals during Trump's second term, is the sustainability push under threat? Moynihan says no, pointing out that there are oil and gas companies in the SMI. But BofA, along with Citi and others, did end 2024 by quitting the world's largest climate alliance for banks, retreating on a UN-backed pledge to limit investment in and lending to industries that contribute to greenhouse gas emissions.",Citigroup,Matthew Garrahan,"BofA's CEO on Trump, King Charles and keeping the brakes on risk",2025-01-13,True,news,"News article by Matthew Garrahan
Title: BofA's CEO on Trump, King Charles and keeping the brakes on risk, published 2025-01-13",external
"But with signs that corporate America may retreat from climate goals during Trump's second term, is the sustainability push under threat? Moynihan says no, pointing out that there are oil and gas companies in the SMI. But BofA, along with Citi and others, did end 2024 by quitting the world's largest climate alliance for banks, retreating on a UN-backed pledge to limit investment in and lending to industries that contribute to greenhouse gas emissions.",Bank of America,Matthew Garrahan,"BofA's CEO on Trump, King Charles and keeping the brakes on risk",2025-01-13,True,news,"News article by Matthew Garrahan
Title: BofA's CEO on Trump, King Charles and keeping the brakes on risk, published 2025-01-13",external
"The new White House may not agree but Moynihan insists there is still a business opportunity in sustainability. He highlights a debt-for-nature refinancing of central African country Gabon's borrowing, which BofA arranged last year. “They restructured debt, and they took the savings from that and preserved the coral reefs, which capture carbon.” The bank last month arranged a similar deal for Ecuador and its competitors have also jumped into the space.",Bank of America,Matthew Garrahan,"BofA's CEO on Trump, King Charles and keeping the brakes on risk",2025-01-13,False,news,"News article by Matthew Garrahan
Title: BofA's CEO on Trump, King Charles and keeping the brakes on risk, published 2025-01-13",external
"JPMorgan Chase has said Jenn Piepszak will replace Daniel Pinto as chief operating officer but will not seek the job of chief executive, complicating the race to one day succeed Jamie Dimon at the top of the US's biggest bank.",JPMorgan,FT Reporters,JPMorgan reshuffles Jamie Dimon's top lieutenants,2025-01-14,False,news,"News article by FT Reporters
Title: JPMorgan reshuffles Jamie Dimon's top lieutenants, published 2025-01-14",external
"Pinto, JPMorgan's president and COO, will relinquish his responsibilities at the end of June and retire by the end of next year, the bank said on Tuesday.",JPMorgan,FT Reporters,JPMorgan reshuffles Jamie Dimon's top lieutenants,2025-01-14,False,news,"News article by FT Reporters
Title: JPMorgan reshuffles Jamie Dimon's top lieutenants, published 2025-01-14",external
"The moves come a year after JPMorgan chief executive Jamie Dimon's previous reshuffle of senior leaders at the bank, which sparked the high-profile departures of several executives close to Pinto.",JPMorgan,FT Reporters,JPMorgan reshuffles Jamie Dimon's top lieutenants,2025-01-14,False,news,"News article by FT Reporters
Title: JPMorgan reshuffles Jamie Dimon's top lieutenants, published 2025-01-14",external
"In a series of moves in January 2024, Piepszak and Troy Rohrbaugh took over responsibility for JPMorgan's expanded commercial and investment banking division from Pinto, serving as co-heads.",JPMorgan,FT Reporters,JPMorgan reshuffles Jamie Dimon's top lieutenants,2025-01-14,False,news,"News article by FT Reporters
Title: JPMorgan reshuffles Jamie Dimon's top lieutenants, published 2025-01-14",external
"However, JPMorgan told the Financial Times on Tuesday that Piepszak was not seeking the top job, citing her “preference for a senior operating role working closely with Jamie”.",JPMorgan,FT Reporters,JPMorgan reshuffles Jamie Dimon's top lieutenants,2025-01-14,False,news,"News article by FT Reporters
Title: JPMorgan reshuffles Jamie Dimon's top lieutenants, published 2025-01-14",external
"JPMorgan also elevated Doug Petno on Tuesday to replace Piepszak as co-head of the commercial and investment bank, alongside Rohrbaugh.",JPMorgan,FT Reporters,JPMorgan reshuffles Jamie Dimon's top lieutenants,2025-01-14,False,news,"News article by FT Reporters
Title: JPMorgan reshuffles Jamie Dimon's top lieutenants, published 2025-01-14",external
"The promotion bumps Petno up the list of potential replacements for Dimon, 68. Other contenders are considered to be Rohrbaugh; Marianne Lake, head of JPMorgan's sprawling consumer bank; and Mary Erdoes, asset and wealth management chief.",JPMorgan,FT Reporters,JPMorgan reshuffles Jamie Dimon's top lieutenants,2025-01-14,False,news,"News article by FT Reporters
Title: JPMorgan reshuffles Jamie Dimon's top lieutenants, published 2025-01-14",external
"While no timeline has been set for Dimon's departure, the bank in 2021 awarded Dimon a retention bonus that would tie him to the bank until at least the middle of 2026.",JPMorgan,FT Reporters,JPMorgan reshuffles Jamie Dimon's top lieutenants,2025-01-14,False,news,"News article by FT Reporters
Title: JPMorgan reshuffles Jamie Dimon's top lieutenants, published 2025-01-14",external
The latest reshuffle comes just a day before JPMorgan reports its fourth-quarter earnings.,JPMorgan,FT Reporters,JPMorgan reshuffles Jamie Dimon's top lieutenants,2025-01-14,False,news,"News article by FT Reporters
Title: JPMorgan reshuffles Jamie Dimon's top lieutenants, published 2025-01-14",external
The bank's net profits are expected to have risen by almost a third to $11.7bn in the final three months of 2024 from the same period in the previous year.,JPMorgan,FT Reporters,JPMorgan reshuffles Jamie Dimon's top lieutenants,2025-01-14,False,news,"News article by FT Reporters
Title: JPMorgan reshuffles Jamie Dimon's top lieutenants, published 2025-01-14",external
"JPMorgan's profits rose sharply in the final quarter of 2024 after a boom in trading around the US election, with its CFO describing it as an 'animal spirits moment'.",JPMorgan,"Cat Rutter Pooley, Adam Samson, Zehra Munir, Peter Wells, Josephine Cumbo and Oliver Ralph",US bank earnings as it happened: Shares jump as investors cheer bumper results,2025-01-15,False,news,"News article by Cat Rutter Pooley, Adam Samson, Zehra Munir, Peter Wells, Josephine Cumbo and Oliver Ralph
Title: US bank earnings as it happened: Shares jump as investors cheer bumper results, published 2025-01-15",external
"Citigroup cut a key target for profitability, acknowledging that spending on its turnaround effort and regulatory issues meant that it would fail to meet its long-stated goal.",Citigroup,"Cat Rutter Pooley, Adam Samson, Zehra Munir, Peter Wells, Josephine Cumbo and Oliver Ralph",US bank earnings as it happened: Shares jump as investors cheer bumper results,2025-01-15,False,news,"News article by Cat Rutter Pooley, Adam Samson, Zehra Munir, Peter Wells, Josephine Cumbo and Oliver Ralph
Title: US bank earnings as it happened: Shares jump as investors cheer bumper results, published 2025-01-15",external
"Wall Street banks JPMorgan Chase, Goldman Sachs and Citigroup notched up strong rises in profits at the end of last year, powered by a boom in trading and dealmaking.",Citigroup,Adam Samson,Wall Street profits surge on trading boom,2025-01-15,True,news,"News article by Adam Samson
Title: Wall Street profits surge on trading boom, published 2025-01-15",external
"Wall Street banks JPMorgan Chase, Goldman Sachs and Citigroup notched up strong rises in profits at the end of last year, powered by a boom in trading and dealmaking.",JPMorgan,Adam Samson,Wall Street profits surge on trading boom,2025-01-15,True,news,"News article by Adam Samson
Title: Wall Street profits surge on trading boom, published 2025-01-15",external
"JPMorgan's net earnings rose 50 per cent to $14bn, while Goldman's doubled to $4.1bn. Citi swung to a profit of $2.9bn from a loss of $1.8bn in the final quarter of 2023.",Citigroup,Adam Samson,Wall Street profits surge on trading boom,2025-01-15,True,news,"News article by Adam Samson
Title: Wall Street profits surge on trading boom, published 2025-01-15",external
"JPMorgan's net earnings rose 50 per cent to $14bn, while Goldman's doubled to $4.1bn. Citi swung to a profit of $2.9bn from a loss of $1.8bn in the final quarter of 2023.",JPMorgan,Adam Samson,Wall Street profits surge on trading boom,2025-01-15,True,news,"News article by Adam Samson
Title: Wall Street profits surge on trading boom, published 2025-01-15",external
"Citigroup's shares climbed more than 5 per cent in pre-market trading, while Goldman Sachs rose almost 4 per cent and JPMorgan ticked up around 1 per cent.",JPMorgan,Adam Samson,Wall Street profits surge on trading boom,2025-01-15,True,news,"News article by Adam Samson
Title: Wall Street profits surge on trading boom, published 2025-01-15",external
"Citigroup's shares climbed more than 5 per cent in pre-market trading, while Goldman Sachs rose almost 4 per cent and JPMorgan ticked up around 1 per cent.",Citigroup,Adam Samson,Wall Street profits surge on trading boom,2025-01-15,True,news,"News article by Adam Samson
Title: Wall Street profits surge on trading boom, published 2025-01-15",external
"Citigroup, Goldman Sachs, JPMorgan and Wells Fargo had their biggest one-day jump since November 6, the session after the presidential election.",JPMorgan,Alexandra White,JPMorgan and BNY close at record highs as US banks rally,2025-01-15,True,news,"News article by Alexandra White
Title: JPMorgan and BNY close at record highs as US banks rally, published 2025-01-15",external
"Citigroup, Goldman Sachs, JPMorgan and Wells Fargo had their biggest one-day jump since November 6, the session after the presidential election.",Citigroup,Alexandra White,JPMorgan and BNY close at record highs as US banks rally,2025-01-15,True,news,"News article by Alexandra White
Title: JPMorgan and BNY close at record highs as US banks rally, published 2025-01-15",external
"That jump pushed BNY to a record high close, while JPMorgan also finished at a peak.",JPMorgan,Alexandra White,JPMorgan and BNY close at record highs as US banks rally,2025-01-15,False,news,"News article by Alexandra White
Title: JPMorgan and BNY close at record highs as US banks rally, published 2025-01-15",external
"Citigroup CEO Jane Fraser stated that the bank's recent poaching of executives, including Andy Sieg from Bank of America and Vis Raghavan from JPMorgan Chase, is proving successful.",JPMorgan,Stephen Gandel,Citi's Fraser proud of performance she is getting out of top hires,2025-01-15,True,news,"News article by Stephen Gandel
Title: Citi's Fraser proud of performance she is getting out of top hires, published 2025-01-15",external
"Citigroup CEO Jane Fraser stated that the bank's recent poaching of executives, including Andy Sieg from Bank of America and Vis Raghavan from JPMorgan Chase, is proving successful.",Bank of America,Stephen Gandel,Citi's Fraser proud of performance she is getting out of top hires,2025-01-15,True,news,"News article by Stephen Gandel
Title: Citi's Fraser proud of performance she is getting out of top hires, published 2025-01-15",external
"Citigroup CEO Jane Fraser stated that the bank's recent poaching of executives, including Andy Sieg from Bank of America and Vis Raghavan from JPMorgan Chase, is proving successful.",Citigroup,Stephen Gandel,Citi's Fraser proud of performance she is getting out of top hires,2025-01-15,True,news,"News article by Stephen Gandel
Title: Citi's Fraser proud of performance she is getting out of top hires, published 2025-01-15",external
"Fraser highlighted that Sieg has improved the client experience in Citi's wealth division, leading to a 20% increase in revenue for that business in the quarter.",Citigroup,Stephen Gandel,Citi's Fraser proud of performance she is getting out of top hires,2025-01-15,False,news,"News article by Stephen Gandel
Title: Citi's Fraser proud of performance she is getting out of top hires, published 2025-01-15",external
"Raghavan, who joined from JPMorgan, has focused Citi on key industries like healthcare and technology, contributing to a 42% climb in investment banking fees for the quarter.",JPMorgan,Stephen Gandel,Citi's Fraser proud of performance she is getting out of top hires,2025-01-15,True,news,"News article by Stephen Gandel
Title: Citi's Fraser proud of performance she is getting out of top hires, published 2025-01-15",external
"Raghavan, who joined from JPMorgan, has focused Citi on key industries like healthcare and technology, contributing to a 42% climb in investment banking fees for the quarter.",Citigroup,Stephen Gandel,Citi's Fraser proud of performance she is getting out of top hires,2025-01-15,True,news,"News article by Stephen Gandel
Title: Citi's Fraser proud of performance she is getting out of top hires, published 2025-01-15",external
"Mike Mayo, a banking analyst at Wells Fargo, commented on the upbeat sentiment of JPMorgan Chase's CEO, Jamie Dimon, stating he hasn't seen him 'this upbeat in probably a couple of decades.'",JPMorgan,Stephen Gandel,"Level of optimism among top bankers the highest in years, analysts say",2025-01-15,False,news,"News article by Stephen Gandel
Title: Level of optimism among top bankers the highest in years, analysts say, published 2025-01-15",external
"Citigroup may require more time than previously anticipated to separate from its Mexican consumer bank, Banamex, potentially delaying the initial public offering.",Citigroup,Stephen Gandel,Citigroup hints that Banamex IPO may not come until 2026,2025-01-15,False,news,"News article by Stephen Gandel
Title: Citigroup hints that Banamex IPO may not come until 2026, published 2025-01-15",external
Investors are focused on the timing of the Banamex exit as it is expected to increase Citigroup's profitability.,Citigroup,Stephen Gandel,Citigroup hints that Banamex IPO may not come until 2026,2025-01-15,False,news,"News article by Stephen Gandel
Title: Citigroup hints that Banamex IPO may not come until 2026, published 2025-01-15",external
"During an earnings call, Citigroup's management, including CEO Jane Fraser, hinted that due to market conditions and regulatory approvals, the IPO might not be completed until 2026.",Citigroup,Stephen Gandel,Citigroup hints that Banamex IPO may not come until 2026,2025-01-15,False,news,"News article by Stephen Gandel
Title: Citigroup hints that Banamex IPO may not come until 2026, published 2025-01-15",external
CFO Mark Mason confirmed that the Banamex IPO was not factored into the company's financial guidance for 2025.,Citigroup,Stephen Gandel,Citigroup hints that Banamex IPO may not come until 2026,2025-01-15,False,news,"News article by Stephen Gandel
Title: Citigroup hints that Banamex IPO may not come until 2026, published 2025-01-15",external
"The bank has been on a hiring spree, bringing in executives like Fernando Rivas from JPMorgan, which has helped deal fees grow 59 percent in the latest quarter, double the rate of Goldman Sachs.",JPMorgan,John Foley,Lex: Investment banking becomes a bright spot for Wells Fargo,2025-01-15,False,news,"News article by John Foley
Title: Lex: Investment banking becomes a bright spot for Wells Fargo, published 2025-01-15",external
"Wells Fargo's investment banking revenue of $725mn brings it closer to competitors like Citigroup, which reported $925mn, positioning it as a strong contender in the second tier of investment banks.",Citigroup,John Foley,Lex: Investment banking becomes a bright spot for Wells Fargo,2025-01-15,False,news,"News article by John Foley
Title: Lex: Investment banking becomes a bright spot for Wells Fargo, published 2025-01-15",external
"Despite growth in its payments and services business, Citigroup's US consumer banking business remains a concern.",Citigroup,Pan Yuk,Lex: Troubles at Citi's consumer bank persist,2025-01-15,False,news,"News article by Pan Yuk
Title: Lex: Troubles at Citi's consumer bank persist, published 2025-01-15",external
"While the services unit generates significant income, the consumer banking division lags, with a return on tangible common equity of just 5.5% compared to 26% for services.",Citigroup,Pan Yuk,Lex: Troubles at Citi's consumer bank persist,2025-01-15,False,news,"News article by Pan Yuk
Title: Lex: Troubles at Citi's consumer bank persist, published 2025-01-15",external
"The poor returns of Citi's US consumer banking, especially when compared to peers like JPMorgan, Wells Fargo, and Bank of America, raise questions about why the bank continues to hold onto it.",JPMorgan,Pan Yuk,Lex: Troubles at Citi's consumer bank persist,2025-01-15,True,news,"News article by Pan Yuk
Title: Lex: Troubles at Citi's consumer bank persist, published 2025-01-15",external
"The poor returns of Citi's US consumer banking, especially when compared to peers like JPMorgan, Wells Fargo, and Bank of America, raise questions about why the bank continues to hold onto it.",Bank of America,Pan Yuk,Lex: Troubles at Citi's consumer bank persist,2025-01-15,True,news,"News article by Pan Yuk
Title: Lex: Troubles at Citi's consumer bank persist, published 2025-01-15",external
"The poor returns of Citi's US consumer banking, especially when compared to peers like JPMorgan, Wells Fargo, and Bank of America, raise questions about why the bank continues to hold onto it.",Citigroup,Pan Yuk,Lex: Troubles at Citi's consumer bank persist,2025-01-15,True,news,"News article by Pan Yuk
Title: Lex: Troubles at Citi's consumer bank persist, published 2025-01-15",external
"Among the major US banks, JPMorgan has once again topped the rankings based on return on equity (RoE), with a full-year return of 18%.",JPMorgan,Sujeet Indap,Lex: JPMorgan leads RoE league table,2025-01-15,False,news,"News article by Sujeet Indap
Title: Lex: JPMorgan leads RoE league table, published 2025-01-15",external
"Citigroup's weak RoE of 6 per cent is below its cost of equity, indicating it is not creating value for investors.",Citigroup,Sujeet Indap,Lex: JPMorgan leads RoE league table,2025-01-15,False,news,"News article by Sujeet Indap
Title: Lex: JPMorgan leads RoE league table, published 2025-01-15",external
"Reflecting these challenges, Citigroup's CEO Jane Fraser confirmed that the bank's previous RoE target of 12 per cent has been lowered to 11 per cent.",Citigroup,Sujeet Indap,Lex: JPMorgan leads RoE league table,2025-01-15,False,news,"News article by Sujeet Indap
Title: Lex: JPMorgan leads RoE league table, published 2025-01-15",external
"Citigroup's efforts to cut its headcount by 20,000 have stalled for the second consecutive quarter as it struggles with cost reduction.",Citigroup,Stephen Gandel,"Citigroup stalls on efforts to reduce workforce by 20,000",2025-01-15,False,news,"News article by Stephen Gandel
Title: Citigroup stalls on efforts to reduce workforce by 20,000, published 2025-01-15",external
"The bank's headcount at the end of 2024 was 229,000, unchanged from the previous three months.",Citigroup,Stephen Gandel,"Citigroup stalls on efforts to reduce workforce by 20,000",2025-01-15,False,news,"News article by Stephen Gandel
Title: Citigroup stalls on efforts to reduce workforce by 20,000, published 2025-01-15",external
"To date, Citigroup has eliminated 11,000 roles, which is just over half of its promised target from a restructuring effort launched in September 2023.",Citigroup,Stephen Gandel,"Citigroup stalls on efforts to reduce workforce by 20,000",2025-01-15,False,news,"News article by Stephen Gandel
Title: Citigroup stalls on efforts to reduce workforce by 20,000, published 2025-01-15",external
JPMorgan Chase CEO Jamie Dimon stated that a recent reshuffle of his top team does not affect the timeline for his eventual departure.,JPMorgan,Brooke Masters and Cat Rutter Pooley,Jamie Dimon insists JPMorgan succession timeline unchanged by reshuffle,2025-01-15,False,news,"News article by Brooke Masters and Cat Rutter Pooley
Title: Jamie Dimon insists JPMorgan succession timeline unchanged by reshuffle, published 2025-01-15",external
"Jennifer Piepszak, previously seen as a frontrunner to succeed Dimon, has ruled herself out of the top job despite a promotion to chief operating officer.",JPMorgan,Brooke Masters and Cat Rutter Pooley,Jamie Dimon insists JPMorgan succession timeline unchanged by reshuffle,2025-01-15,False,news,"News article by Brooke Masters and Cat Rutter Pooley
Title: Jamie Dimon insists JPMorgan succession timeline unchanged by reshuffle, published 2025-01-15",external
Dimon described Piepszak's new role as a 'natural progression' during a call with reporters.,JPMorgan,Brooke Masters and Cat Rutter Pooley,Jamie Dimon insists JPMorgan succession timeline unchanged by reshuffle,2025-01-15,False,news,"News article by Brooke Masters and Cat Rutter Pooley
Title: Jamie Dimon insists JPMorgan succession timeline unchanged by reshuffle, published 2025-01-15",external
"Asset manager BlackRock was a top gainer, jumping 3.8 per cent in pre-market trading. Citigroup rose 3.5 per cent, and Wells Fargo was up 3.3 per cent after announcing solid investment banking performance.",Citigroup,Mari Novik,US financial shares rise on strong results,2025-01-15,False,news,"News article by Mari Novik
Title: US financial shares rise on strong results, published 2025-01-15",external
"BNY increased by nearly 3 per cent, Goldman Sachs by 2.2 per cent, and JPMorgan Chase edged up almost 1.2 per cent.",JPMorgan,Mari Novik,US financial shares rise on strong results,2025-01-15,False,news,"News article by Mari Novik
Title: US financial shares rise on strong results, published 2025-01-15",external
"Citigroup's profits are expected to rebound to nearly $2.6bn in the fourth quarter, a significant improvement from a $2.2bn loss in the same period last year which included a one-time restructuring charge.",Citigroup,Stephen Gandel,Citigroup profits expected to rebound,2025-01-15,False,news,"News article by Stephen Gandel
Title: Citigroup profits expected to rebound, published 2025-01-15",external
"A strong quarter is anticipated for Citi's investment bankers, with fees projected to be up 30 per cent.",Citigroup,Stephen Gandel,Citigroup profits expected to rebound,2025-01-15,False,news,"News article by Stephen Gandel
Title: Citigroup profits expected to rebound, published 2025-01-15",external
"Analysts will be closely watching for indications that the bank's restructuring efforts are yielding results, particularly in containing operating expenses.",Citigroup,Stephen Gandel,Citigroup profits expected to rebound,2025-01-15,False,news,"News article by Stephen Gandel
Title: Citigroup profits expected to rebound, published 2025-01-15",external
"JPMorgan chief executive Jamie Dimon commented that the US economy remains 'resilient' and businesses are optimistic, but warned that 'geopolitical conditions remain the most dangerous and complicated since World War II'.",JPMorgan,Adam Samson,Dimon says geopolitical risks most 'dangerous' since second world war,2025-01-15,False,news,"News article by Adam Samson
Title: Dimon says geopolitical risks most 'dangerous' since second world war, published 2025-01-15",external
"In his full statement, Dimon noted low unemployment and healthy consumer spending, but highlighted inflationary pressures from future spending and significant geopolitical risks as two major concerns.",JPMorgan,Adam Samson,Dimon says geopolitical risks most 'dangerous' since second world war,2025-01-15,False,news,"News article by Adam Samson
Title: Dimon says geopolitical risks most 'dangerous' since second world war, published 2025-01-15",external
"JPMorgan Chase's profits rose sharply in the final quarter of 2024, boosted by a boom in trading around the US election and strong investment banking revenue.",JPMorgan,Brooke Masters and Adam Samson,JPMorgan profits rise on bumper Wall Street revenues,2025-01-15,False,news,"News article by Brooke Masters and Adam Samson
Title: JPMorgan profits rise on bumper Wall Street revenues, published 2025-01-15",external
"Net profits of $14bn were up 50 per cent from the previous year, a figure flattered by a $2.9bn expense in Q4 2023 related to replenishing the US federal deposit insurance fund.",JPMorgan,Brooke Masters and Adam Samson,JPMorgan profits rise on bumper Wall Street revenues,2025-01-15,False,news,"News article by Brooke Masters and Adam Samson
Title: JPMorgan profits rise on bumper Wall Street revenues, published 2025-01-15",external
"The strong results were powered by JPMorgan's Wall Street business, with trading revenues up 21 per cent and investment banking revenues up 46 per cent.",JPMorgan,Brooke Masters and Adam Samson,JPMorgan profits rise on bumper Wall Street revenues,2025-01-15,False,news,"News article by Brooke Masters and Adam Samson
Title: JPMorgan profits rise on bumper Wall Street revenues, published 2025-01-15",external
"Loan losses will be another key area to watch, with expectations of a slight decrease for the nation's four biggest lenders: JPMorgan Chase, Bank of America, Wells Fargo, and Citigroup.",Citigroup,Stephen Gandel,Bumper earnings on the cards,2025-01-15,True,news,"News article by Stephen Gandel
Title: Bumper earnings on the cards, published 2025-01-15",external
"Loan losses will be another key area to watch, with expectations of a slight decrease for the nation's four biggest lenders: JPMorgan Chase, Bank of America, Wells Fargo, and Citigroup.",Bank of America,Stephen Gandel,Bumper earnings on the cards,2025-01-15,True,news,"News article by Stephen Gandel
Title: Bumper earnings on the cards, published 2025-01-15",external
"Loan losses will be another key area to watch, with expectations of a slight decrease for the nation's four biggest lenders: JPMorgan Chase, Bank of America, Wells Fargo, and Citigroup.",JPMorgan,Stephen Gandel,Bumper earnings on the cards,2025-01-15,True,news,"News article by Stephen Gandel
Title: Bumper earnings on the cards, published 2025-01-15",external
"JPMorgan, Goldman Sachs, BlackRock, Citi, Wells Fargo and BNY are all reporting fourth-quarter earnings, kicking off the quarterly earnings season.",Citigroup,Financial Times,Welcome to the FT's live coverage of US earnings,2025-01-15,True,news,"News article by Financial Times
Title: Welcome to the FT's live coverage of US earnings, published 2025-01-15",external
