row_heading,row_number,preceding_quarter_trend_summary,year_on_year_quarter_trend_summary,current_quarter_value,preceding_quarter_value,prev_year_same_quarter_value,preceding_year_trend_summary,current_year_value,preceding_year_value,unit,page,section,reporting_period,date_of_presentation
Union Bank - Philippines,2,,,,,,,,,,21,Financial Results,Q1_2023,2023-04-14
AUB - Bahrain,3,,,,,,,,,,21,Financial Results,Q1_2023,2023-04-14
UOB - Thailand,4,,,,,,,,,,21,Financial Results,Q1_2023,2023-04-14
UOB - Malaysia,5,,,,,,,,,,21,Financial Results,Q1_2023,2023-04-14
UOB - Vietnam,6,,,,,,,,,,21,Financial Results,Q1_2023,2023-04-14
Axis Bank - India,7,,,,,,,,,,21,Financial Results,Q1_2023,2023-04-14
DBS - Taiwan,8,,,,,,,,,,21,Financial Results,Q1_2023,2023-04-14
UOB - Indonesia,9,,,,,,,,,,21,Financial Results,Q1_2023,2023-04-14
Branded Cards EOP Loans,1,Decreased from $100.2B in 4Q22 to $97.1B in 1Q23.,Increased from $85.9B in 1Q22 to $97.1B in 1Q23.,97.1,100.2,85.9,,,,B USD,23,Financial Results,Q1_2023,2023-04-14
Retail Services EOP Loans,1,Decreased from $50.5B in 4Q22 to $48.4B in 1Q23.,Increased from $44.1B in 1Q22 to $48.4B in 1Q23.,48.4,50.5,44.1,,,,B USD,23,Financial Results,Q1_2023,2023-04-14
LCR Ratio 4Q20,1,,,118.0,,,,,,%,27,Financial Results,Q1_2023,2023-04-14
LCR Ratio 4Q21,2,,,115.0,,,,,,%,27,Financial Results,Q1_2023,2023-04-14
LCR Ratio 4Q22,3,,,118.0,,,,,,%,27,Financial Results,Q1_2023,2023-04-14
Available Cash,1,,,256.0,,,,,,B USD,27,Financial Results,Q1_2023,2023-04-14
US Sovereign,2,,,192.0,,,,,,B USD,27,Financial Results,Q1_2023,2023-04-14
US Agency/ Agency MBS,3,,,57.0,,,,,,B USD,27,Financial Results,Q1_2023,2023-04-14
Foreign Government Debt,4,,,79.0,,,,,,B USD,27,Financial Results,Q1_2023,2023-04-14
Other Investment Grade,5,,,4.0,,,,,,B USD,27,Financial Results,Q1_2023,2023-04-14
4Q22 Balance,1,,,,148.9,,,,,B USD,28,Financial Results,Q1_2023,2023-04-14
Net Income,2,,,4.6,,,,,,B USD,28,Financial Results,Q1_2023,2023-04-14
Preferred Stock Dividends,3,,,-0.3,,,,,,B USD,28,Financial Results,Q1_2023,2023-04-14
Common Share Dividends,4,,,-1.0,,,,,,B USD,28,Financial Results,Q1_2023,2023-04-14
Deferred Tax Adjustment due to Capital Exclusion,5,,,-0.2,,,,,,B USD,28,Financial Results,Q1_2023,2023-04-14
Unrealized AFS Gains / (Losses),6,,,0.8,,,,,,B USD,28,Financial Results,Q1_2023,2023-04-14
FX Translation,7,,,0.6,,,,,,B USD,28,Financial Results,Q1_2023,2023-04-14
CECL Transition Provision,8,,,-0.8,,,,,,B USD,28,Financial Results,Q1_2023,2023-04-14
Other,9,,,1.1,,,,,,B USD,28,Financial Results,Q1_2023,2023-04-14
1Q23 Balance,10,,,153.7,,,,,,B USD,28,Financial Results,Q1_2023,2023-04-14
1Q22 Balance,1,,,,,143.7,,,,B USD,28,Financial Results,Q1_2023,2023-04-14
Net Income,2,,,15.1,,,,,,B USD,28,Financial Results,Q1_2023,2023-04-14
Preferred Stock Dividends,3,,,-1.0,,,,,,B USD,28,Financial Results,Q1_2023,2023-04-14
Common Share Dividends & Repurchases,4,,,-4.3,,,,,,B USD,28,Financial Results,Q1_2023,2023-04-14
Deferred Tax Adjustment due to Capital Exclusion,5,,,0.3,,,,,,B USD,28,Financial Results,Q1_2023,2023-04-14
Unrealized AFS Gains / (Losses),6,,,-0.3,,,,,,B USD,28,Financial Results,Q1_2023,2023-04-14
FX Translation,7,,,-1.7,,,,,,B USD,28,Financial Results,Q1_2023,2023-04-14
CECL Transition Provision,8,,,-0.8,,,,,,B USD,28,Financial Results,Q1_2023,2023-04-14
Other,9,,,2.7,,,,,,B USD,28,Financial Results,Q1_2023,2023-04-14
1Q23 Balance,10,,,153.7,,,,,,B USD,28,Financial Results,Q1_2023,2023-04-14
Common Stockholders' Equity,1,"Increased from $182,194M in 4Q22 to $188,050M in 1Q23.","Increased from $178,714M in 1Q22 to $188,050M in 1Q23.",188050.0,182194.0,178714.0,,,,MM USD,29,Financial Results,Q1_2023,2023-04-14
Goodwill,2,"Increased from $19,691M in 4Q22 to $19,882M in 1Q23.","Increased from $19,865M in 1Q22 to $19,882M in 1Q23.",19882.0,19691.0,19865.0,,,,MM USD,29,Financial Results,Q1_2023,2023-04-14
Intangible Assets (other than Mortgage Servicing Rights),3,"Increased from $3,763M in 4Q22 to $3,974M in 1Q23.","Decreased from $4,002M in 1Q22 to $3,974M in 1Q23.",3974.0,3763.0,4002.0,,,,MM USD,29,Financial Results,Q1_2023,2023-04-14
Mortgage Servicing Rights Related to Assets Held-for-Sale,4,Decreased from $589M in 4Q22 to $246M in 1Q23.,"Decreased from $1,384M in 1Q22 to $246M in 1Q23.",246.0,589.0,1384.0,,,,MM USD,29,Financial Results,Q1_2023,2023-04-14
Tangible Common Equity (TCE),5,"Increased from $158,151M in 4Q22 to $163,948M in 1Q23.","Increased from $153,463M in 1Q22 to $163,948M in 1Q23.",163948.0,158151.0,153463.0,,,,MM USD,29,Financial Results,Q1_2023,2023-04-14
Common Shares Outstanding (CSO),6,"Increased from 1,937M in 4Q22 to 1,947M in 1Q23.","Increased from 1,942M in 1Q22 to 1,947M in 1Q23.",1947.0,1937.0,1942.0,,,,millions,29,Financial Results,Q1_2023,2023-04-14
Tangible Book Value Per Share (TCE / CSO),7,Increased from $81.65 in 4Q22 to $84.21 in 1Q23.,Increased from $79.03 in 1Q22 to $84.21 in 1Q23.,84.21,81.65,79.03,,,,USD,29,Financial Results,Q1_2023,2023-04-14
Citigroup Net Income,1,,,4606.0,,,,,,MM USD,29,Financial Results,Q1_2023,2023-04-14
Preferred Stock Dividends,2,,,277.0,,,,,,MM USD,29,Financial Results,Q1_2023,2023-04-14
Net Income Available to Common Shareholders,3,,,4329.0,,,,,,MM USD,29,Financial Results,Q1_2023,2023-04-14
Average TCE,4,,,161050.0,,,,,,MM USD,29,Financial Results,Q1_2023,2023-04-14
RoTCE,5,,,10.9,,,,,,%,29,Financial Results,Q1_2023,2023-04-14
ICG,1,,,13.8,,,,,,%,29,Financial Results,Q1_2023,2023-04-14
PBWM,2,,,5.5,,,,,,%,29,Financial Results,Q1_2023,2023-04-14
Legacy Franchises,3,,,19.0,,,,,,%,29,Financial Results,Q1_2023,2023-04-14
Corp. / Other,4,,,-0.6,,,,,,%,29,Financial Results,Q1_2023,2023-04-14
Citigroup,5,,,10.9,,,,,,%,29,Financial Results,Q1_2023,2023-04-14
Total Revenue- as Reported,1,"Increased 19% QoQ from $18,006M to $21,447M.","Increased 12% YoY from $19,186M to $21,447M.",21447.0,18006.0,19186.0,,,,MM USD,30,Footnotes,Q1_2023,2023-04-14
Total revenues - Ex-FX,2,"Increased 18% QoQ from $18,139M to $21,447M.","Increased 13% YoY from $18,992M to $21,447M.",21447.0,18139.0,18992.0,,,,MM USD,30,Footnotes,Q1_2023,2023-04-14
Total operating expenses - as reported,3,"Increased 2% QoQ from $12,985M to $13,289M.","Increased 1% YoY from $13,165M to $13,289M.",13289.0,12985.0,13165.0,,,,MM USD,30,Footnotes,Q1_2023,2023-04-14
Total operating expenses - Ex-FX,4,"Increased 1% QoQ from $13,212M to $13,289M.","Increased 2% YoY from $13,040M to $13,289M.",13289.0,13212.0,13040.0,,,,MM USD,30,Footnotes,Q1_2023,2023-04-14
Total Average Loans - as reported,1,Decreased 1% QoQ from 285 to 283.,Decreased 2% YoY from 289 to 283.,283.0,285.0,289.0,,,,MM USD,30,Footnotes,Q1_2023,2023-04-14
Total Average Loans - Ex-FX,2,Decreased 2% QoQ from 288 to 283.,Decreased 1% YoY from 285 to 283.,283.0,288.0,285.0,,,,MM USD,30,Footnotes,Q1_2023,2023-04-14
Total Average Deposits - as reported,3,Increased 1% QoQ from 848 to 853.,Increased 3% YoY from 826 to 853.,853.0,848.0,826.0,,,,MM USD,30,Footnotes,Q1_2023,2023-04-14
Total Average Deposits - Ex-FX,4,Decreased 0% QoQ from 857 to 853.,Increased 5% YoY from 811 to 853.,853.0,857.0,811.0,,,,MM USD,30,Footnotes,Q1_2023,2023-04-14
Total Average Loans - as reported,1,Increased 1% QoQ from 330 to 333.,Increased 7% YoY from 312 to 333.,333.0,330.0,312.0,,,,MM USD,30,Footnotes,Q1_2023,2023-04-14
Total Average Loans - Ex-FX,2,Increased 1% QoQ from 331 to 333.,Increased 7% YoY from 311 to 333.,333.0,331.0,311.0,,,,MM USD,30,Footnotes,Q1_2023,2023-04-14
Total Average Deposits - as reported,3,Increased 1% QoQ from 431 to 434.,Decreased 3% YoY from 447 to 434.,434.0,431.0,447.0,,,,MM USD,30,Footnotes,Q1_2023,2023-04-14
Total Average Deposits - Ex-FX,4,Increased 0% QoQ from 433 to 434.,Decreased 2% YoY from 445 to 434.,434.0,433.0,445.0,,,,MM USD,30,Footnotes,Q1_2023,2023-04-14
Total Average Loans - as reported,1,,Decreased 21% YoY from 48 to 38.,38.0,38.0,48.0,,,,MM USD,30,Footnotes,Q1_2023,2023-04-14
Total Average Loans - Ex-FX,2,Decreased 4% QoQ from 39 to 38.,Decreased 21% YoY from 47 to 38.,38.0,39.0,47.0,,,,MM USD,30,Footnotes,Q1_2023,2023-04-14
Total Average Deposits - as reported,3,,Decreased 9% YoY from 55 to 50.,50.0,50.0,55.0,,,,MM USD,30,Footnotes,Q1_2023,2023-04-14
Total Average Deposits - Ex-FX,4,Decreased 4% QoQ from 52 to 50.,Decreased 11% YoY from 56 to 50.,50.0,52.0,56.0,,,,MM USD,30,Footnotes,Q1_2023,2023-04-14
Total Citigroup Revenues - As Reported,1,,"Increased 12% YoY from $19,186M in 1Q22.",21447.0,,19186.0,,,,MM USD,31,Footnotes,Q1_2023,2023-04-14
Total Divestiture Impact on Revenues,2,,,1018.0,,-47.0,,,,MM USD,31,Footnotes,Q1_2023,2023-04-14
"Total Citigroup Revenues, Excluding Divestiture Impacts",3,,"Increased 6% YoY from $19,233M in 1Q22.",20429.0,,19233.0,,,,MM USD,31,Footnotes,Q1_2023,2023-04-14
Total Citigroup Operating Expenses - As Reported,1,,"Increased 1% YoY from $13,165M in 1Q22.",13289.0,,13165.0,,,,MM USD,31,Footnotes,Q1_2023,2023-04-14
Total Divestiture Impact on Operating Expenses,2,,,73.0,,559.0,,,,MM USD,31,Footnotes,Q1_2023,2023-04-14
"Total Citigroup Operating Expenses, Excluding Divestiture Impacts",3,,"Increased 5% YoY from $12,606M in 1Q22.",13216.0,,12606.0,,,,MM USD,31,Footnotes,Q1_2023,2023-04-14
Total Citigroup Cost of Credit - As Reported,1,,YoY change is not meaningful.,1975.0,,755.0,,,,MM USD,31,Footnotes,Q1_2023,2023-04-14
Total Divestiture Impact on Cost of Credit,2,,,-8.0,,71.0,,,,MM USD,31,Footnotes,Q1_2023,2023-04-14
"Total Citigroup Cost of Credit, Excluding Divestiture Impacts",3,,YoY change is not meaningful.,1983.0,,684.0,,,,MM USD,31,Footnotes,Q1_2023,2023-04-14
Total Citigroup Net Income - As Reported,1,,"Increased 7% YoY from $4,306M in 1Q22.",4606.0,,4306.0,,,,MM USD,31,Footnotes,Q1_2023,2023-04-14
Total Divestiture Impact (after-tax) on Net Income,2,,,648.0,,-588.0,,,,MM USD,31,Footnotes,Q1_2023,2023-04-14
"Total Citigroup Net Income, Excluding Divestiture Impacts",3,,"Decreased 19% YoY from $4,894M in 1Q22.",3958.0,,4894.0,,,,MM USD,31,Footnotes,Q1_2023,2023-04-14
Citigroup Diluted EPS - As Reported,1,,,2.19,,,,,,USD,32,Footnotes,Q1_2023,2023-04-14
Total Divestiture Impact on Citigroup Diluted EPS,2,,,0.33,,,,,,USD,32,Footnotes,Q1_2023,2023-04-14
"Citigroup Diluted EPS, Excluding Divestiture Impact",3,,,1.86,,,,,,USD,32,Footnotes,Q1_2023,2023-04-14
Citigroup RoTCE - As Reported,1,,,10.9,,,,,,%,32,Footnotes,Q1_2023,2023-04-14
Total Divestiture Impact on Citigroup RoTCE,2,,,1.6,,,,,,%,32,Footnotes,Q1_2023,2023-04-14
"Citigroup RoTCE, Excluding Divestiture Impacts",3,,,9.3,,,,,,%,32,Footnotes,Q1_2023,2023-04-14
Total Banking Revenues - As Reported,1,Increased by 31% from $889M in 4Q22.,"Decreased by 38% from $1,886M in 1Q22.",1165.0,889.0,1886.0,,,,MM USD,33,Footnotes,Q1_2023,2023-04-14
Gain/(loss) on loan hedges,2,,,-199.0,-300.0,169.0,,,,MM USD,33,Footnotes,Q1_2023,2023-04-14
Total Banking Revenues - Excluding Gain/(loss) on loan hedges,3,"Increased by 15% from $1,189M in 4Q22.","Decreased by 21% from $1,717M in 1Q22.",1364.0,1189.0,1717.0,,,,MM USD,33,Footnotes,Q1_2023,2023-04-14
Banking Corporate Lending Revenues - As Reported,1,Increased by 60% from $244M in 4Q22.,Decreased by 54% from $858M in 1Q22.,391.0,244.0,858.0,,,,MM USD,33,Footnotes,Q1_2023,2023-04-14
Gain/(loss) on loan hedges,2,,,-199.0,-300.0,169.0,,,,MM USD,33,Footnotes,Q1_2023,2023-04-14
Banking Corporate Lending Revenues - Excluding Gain/(loss) on loan hedges,3,Increased by 8% from $544M in 4Q22.,Decreased by 14% from $689M in 1Q22.,590.0,544.0,689.0,,,,MM USD,33,Footnotes,Q1_2023,2023-04-14
Legacy Franchises Total Revenues - As Reported,1,,"Increased by 48% from $1,931M in 1Q22.",2852.0,,1931.0,,,,MM USD,33,Footnotes,Q1_2023,2023-04-14
Total Divestiture Impact on Revenues,2,,,1018.0,,-47.0,,,,MM USD,33,Footnotes,Q1_2023,2023-04-14
"Legacy Franchises Total Revenues, Excluding Divestiture Impacts",3,,"Decreased by 7% from $1,978M in 1Q22.",1834.0,,1978.0,,,,MM USD,33,Footnotes,Q1_2023,2023-04-14
Legacy Franchises Operating Expenses - As Reported,1,,"Decreased by 24% from $2,293M in 1Q22.",1752.0,,2293.0,,,,MM USD,33,Footnotes,Q1_2023,2023-04-14
Total Divestiture Impact on Operating Expenses,2,,,73.0,,559.0,,,,MM USD,33,Footnotes,Q1_2023,2023-04-14
"Legacy Franchises Operating Expenses, Excluding Divestiture Impacts",3,,"Decreased by 3% from $1,734M in 1Q22.",1679.0,,1734.0,,,,MM USD,33,Footnotes,Q1_2023,2023-04-14
