text,fiscal_period_ref,speaker,role,page,section,reporting_period,date_of_call,bank,document_type,source,sentiment
"Hi. There were some quotes, I think, in the media, Jane, from you talking about some signs of pressure among the lower end of the consumer, and I appreciate the pie chart that you have in the deck showing it's not a huge percent of the card portfolio. But could you elaborate on that? And then also just address the, you mentioned directionally how the payment rates in cards are coming down, but if we look at the growth in spend versus the growth in loans, it is kind of a little disproportionate. I think spend is up a couple percent year-over-year, and the loans are 11%. So, as we think about being kind of later-cycle, is that something that you're paying attention to as a potential sign of further weakness in credit?",quarter,Matt O'Connor,Analyst,13,Q and A,Q3_2023,2023-10-13,Citigroup,transcript,"Matt O'Connor (Analyst)
Citigroup, Q3, 2023 Earnings Call Transcript, Page 13",Negative
"So, when you look at where the world's headed and what's going on in the world, volatility, these other elements, it's hard not to see opportunities.",quarter,Jane Fraser,CEO,15,Q and A,Q3_2023,2023-10-13,Citigroup,transcript,"Jane Fraser (CEO)
Citigroup, Q3, 2023 Earnings Call Transcript, Page 15",Negative
"Our expectation is that as we go into 2024, to the point that you've made, depending on the macro environment, we're likely to see this tick up above those pre-COVID normalized rates, as we see a slowdown in the economy, again, subject to what the macro looks like, before then kind of settling down at some point, down the path. And so, yes, we do see that tick up.",quarter,Mark Mason,CFO,16,Q and A,Q3_2023,2023-10-13,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q3, 2023 Earnings Call Transcript, Page 16",Negative
"And our portfolio is very prime. I mean, this is not the old Citi. It's very different in terms of our consumer credit exposure. And I think what you're hearing from us is, this should all be very manageable.",quarter,Jane Fraser,CEO,16,Q and A,Q3_2023,2023-10-13,Citigroup,transcript,"Jane Fraser (CEO)
Citigroup, Q3, 2023 Earnings Call Transcript, Page 16",Negative
"We're not, there's no alarm bells going off at Citi around this. We're being prudent. We're being conservative around pieces and responsible on it. But there's no alarm bells ringing. And I think that there may be a bit of a disconnect from some of the questions out there versus how we're feeling. We're just not seeing the data that is overly concerning. This is all very manageable, and we're being prudent about it, as you'd expect us to be.",quarter,Jane Fraser,CEO,17,Q and A,Q3_2023,2023-10-13,Citigroup,transcript,"Jane Fraser (CEO)
Citigroup, Q3, 2023 Earnings Call Transcript, Page 17",Negative
"And I would also say that when you look at revenue, expenses, and the targets we've laid out at Investor Day, we've certainly had plenty of headwinds in macro, regulatory, geopolitics in the last couple of years. We have delivered on what we said we would do in the revenue, in the expense guidance, and on the strategy. We've made adaptions along the way as we've needed to. But I think that's the piece that we're also really trying to drive into the firm is a culture of we will do what we say we will do, and we'll adapt accordingly to different areas.",quarter,Jane Fraser,CEO,17,Q and A,Q3_2023,2023-10-13,Citigroup,transcript,"Jane Fraser (CEO)
Citigroup, Q3, 2023 Earnings Call Transcript, Page 17",Negative
"On the corporate loans, we saw loss, I think losses were $51 million in the quarter, so a small amount. We did see an uptick, as you point out, in the reserves. That was really driven by some country rating adjustments that were made. And then we did see an increase in the NALs, the non-accrual loans. And that was really one or two names and one in North America, one in EMEA. Both of them are current. But they drove the uptick that we saw in the quarter there.",quarter,Mark Mason,CFO,17,Q and A,Q3_2023,2023-10-13,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q3, 2023 Earnings Call Transcript, Page 17",Negative
"Manufacturing weakness is restraining a modest rebound in Europe which continues to struggle with more structural challenges around its competitiveness, as highlighted by Draghi’s report.",quarter,Jane Fraser,CEO,1,Prepared remarks,Q3_2024,2024-10-15,Citigroup,transcript,"Jane Fraser (CEO)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 1",Negative
"In China, consumer sentiment and the property market remain a concern as markets await details on the expected fiscal stimulus.",quarter,Jane Fraser,CEO,1,Prepared remarks,Q3_2024,2024-10-15,Citigroup,transcript,"Jane Fraser (CEO)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 1",Negative
Fixed Income however was down 6% — our Rates and Currencies business didn’t match last year’s standout performance.,quarter,Jane Fraser,CEO,2,Prepared remarks,Q3_2024,2024-10-15,Citigroup,transcript,"Jane Fraser (CEO)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 2",Negative
"Lower discretionary spending is impacting our Retail Services portfolio; however, we continue to see lower payment rates contributing to interest earning balances.",quarter,Jane Fraser,CEO,2,Prepared remarks,Q3_2024,2024-10-15,Citigroup,transcript,"Jane Fraser (CEO)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 2",Negative
"We have increased our investments in areas where we have not made sufficient progress, such as data quality management.",quarter,Jane Fraser,CEO,3,Prepared remarks,Q3_2024,2024-10-15,Citigroup,transcript,"Jane Fraser (CEO)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 3",Negative
"On slide 6, we show the expense trend over the past five quarters. This quarter we reported expenses of $13.3 billion, down 2%, and 1% sequentially.",quarter,Mark Mason,CFO,3,Prepared remarks,Q3_2024,2024-10-15,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 3",Negative
"NIM declined by 8 basis points, driven by a decline in Markets due to seasonally higher dividends in the second quarter.",quarter,Mark Mason,CFO,4,Prepared remarks,Q3_2024,2024-10-15,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 4",Negative
"And as you think about guidance for NII ex-Markets in the fourth quarter: As short-end rates continue to come down, we expect a headwind on floating-rate assets which will be somewhat offset by disciplined deposit pricing.",quarter,Mark Mason,CFO,4,Prepared remarks,Q3_2024,2024-10-15,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 4",Negative
"And as a reminder, we expect an ongoing NII headwind as Legacy Franchises’ loans and deposits continue to come down.",quarter,Mark Mason,CFO,4,Prepared remarks,Q3_2024,2024-10-15,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 4",Negative
"Sequentially, NCLs declined while delinquencies increased, both in-line with historical third quarter seasonality.",quarter,Mark Mason,CFO,4,Prepared remarks,Q3_2024,2024-10-15,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 4",Negative
"Our Corporate portfolio is largely investment grade and corporate non-accrual loans remained low, at 31 basis points.",quarter,Mark Mason,CFO,4,Prepared remarks,Q3_2024,2024-10-15,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 4",Negative
"Second, we returned $2.1 billion in the form of common dividends and share repurchases, which drove a reduction of 18 basis points.",quarter,Mark Mason,CFO,4,Prepared remarks,Q3_2024,2024-10-15,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 4",Negative
"Fixed Income revenues decreased 6%, driven by Rates and Currencies, which was down 10%, partially offset by Spread Products and Other Fixed Income, which was up 5%.",quarter,Mark Mason,CFO,5,Prepared remarks,Q3_2024,2024-10-15,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 5",Negative
Average loans decreased 1% as we maintained strict discipline around returns.,quarter,Mark Mason,CFO,5,Prepared remarks,Q3_2024,2024-10-15,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 5",Negative
"Cost of credit was $33 million, largely driven by net credit losses of $27 million.",quarter,Mark Mason,CFO,5,Prepared remarks,Q3_2024,2024-10-15,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 5",Negative
"Average loans decreased 1%, as we continued to optimize capital usage.",quarter,Mark Mason,CFO,5,Prepared remarks,Q3_2024,2024-10-15,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 5",Negative
"Retail Services revenues were down 1%, due to a slowing growth rate in interest earning balances.",quarter,Mark Mason,CFO,6,Prepared remarks,Q3_2024,2024-10-15,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 6",Negative
"Retail Banking revenues decreased 8%, driven by the transfer of relationships and the associated deposits to our Wealth business.",quarter,Mark Mason,CFO,6,Prepared remarks,Q3_2024,2024-10-15,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 6",Negative
"In Retail Services, we continue to expect to be around the high end of the 5.75% to 6.25% range for the full year, driven by both the impact of persistent inflation and high interest rates as well as lower sales activity at our partners.",quarter,Mark Mason,CFO,6,Prepared remarks,Q3_2024,2024-10-15,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 6",Negative
"Average deposits decreased 23%, largely driven by the transfer of relationships and the associated deposits to our Wealth business.",quarter,Mark Mason,CFO,6,Prepared remarks,Q3_2024,2024-10-15,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 6",Negative
"As I mentioned, we now expect NII ex-Markets to be slightly down for the full year.",quarter,Mark Mason,CFO,6,Prepared remarks,Q3_2024,2024-10-15,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 6",Negative
"So, one, you're seeing kind of spend volumes trend down a bit. You are seeing payment rates come down as well.",quarter,Mark Mason,CFO,6,Q and A,Q3_2024,2024-10-15,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 6",Negative
"And then you are also seeing with the spend volume come down, there's a denominator effect that plays through which pushes up obviously the loss rates that we're seeing.",quarter,Mark Mason,CFO,6,Q and A,Q3_2024,2024-10-15,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 6",Negative
We're still going to have a bit of beta catch-up outside of the US and so that's one of the headwinds there as well as the Legacy Franchise exits.,quarter,Mark Mason,CFO,7,Q and A,Q3_2024,2024-10-15,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 7",Negative
I'm not giving guidance for 2025 but you can expect that that will likely glide down to that number.,quarter,Mark Mason,CFO,8,Q and A,Q3_2024,2024-10-15,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 8",Negative
"Will there be headwinds? Yes. There will be, the transformation is a multiyear process.",quarter,Mark Mason,CFO,8,Q and A,Q3_2024,2024-10-15,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 8",Negative
"We're also investing in risk controls and regulatory spend to support improving our operations. Of course, there will be headwinds but there will also be things that we shift away from.",quarter,Mark Mason,CFO,8,Q and A,Q3_2024,2024-10-15,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 8",Negative
"Where there are areas in which our execution is delayed against our original timelines as is the case with our data work. We take a step back, determine what we need to change in those areas and get back on track and make relevant tech and people investments.",quarter,Jane Fraser,CEO,9,Q and A,Q3_2024,2024-10-15,Citigroup,transcript,"Jane Fraser (CEO)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 9",Negative
"So, just one follow-up. When, and you do have the amended consent order that's not new anymore, but is this a problem with your dealing with clients or is this an issue with giving the regulators the information that they need?",quarter,Mike Mayo,Analyst,9,Q and A,Q3_2024,2024-10-15,Citigroup,transcript,"Mike Mayo (Analyst)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 9",Negative
"Yes, if revenues come in short of the target that we've set for ourselves, you would naturally expect for the volume and transaction related expenses and compensation expenses to come down in a commensurate way with that revenue decline and you would also expect that we would look to see if there are other productivity opportunities that we can tease out in order to still deliver on that operating efficiency target that we've set for ourselves.",quarter,Mark Mason,CFO,10,Q and A,Q3_2024,2024-10-15,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 10",Negative
"And last quarter it was about $1.6 billion or so of a negative, assuming 100 basis point decline across the curve, assuming a static balance sheet and cross-currencies.",quarter,Mark Mason,CFO,12,Q and A,Q3_2024,2024-10-15,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 12",Negative
And so you'd have to see all of that move in tandem for that drag and the US dollar drag is about $300 million assuming 100 basis point shift and that's been coming down.,quarter,Mark Mason,CFO,12,Q and A,Q3_2024,2024-10-15,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 12",Negative
"If you look back over the quarters, we've been thoughtfully managing that down and that's down to about $300 million number. I would expect when we print the third quarter Q, it will be down a bit more.",quarter,Mark Mason,CFO,12,Q and A,Q3_2024,2024-10-15,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 12",Negative
And we have some offsetting pressure outside of the US as those betas kind of catch up.,quarter,Mark Mason,CFO,15,Q and A,Q3_2024,2024-10-15,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 15",Negative
"I think when you look at the in-quarter performance and [TTS] NII is down 5%, a big part of that is driven by the Argentina rates movement in the quarter versus last year, so lower rates we're earning in Argentina playing through that line particularly in this quarter.",quarter,Mark Mason,CFO,15,Q and A,Q3_2024,2024-10-15,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 15",Negative
"Hey, guys. Couple quick questions. First, just a follow-up on Banamex. Jane, as you know, there are concerns about judicial reform in Mexico and the implications for rule of law and Mexican asset prices have suffered as a result. I think the largest Mexican bank trades at something in the neighborhood of seven times earnings. If market conditions don't improve and Mexican asset prices remain depressed and these concerns persist, then what? I mean, do you just wait until market conditions improve or how do you think about this process in the context of what seems to be a deteriorating macro backdrop for Mexico.",quarter,Saul Martinez,Analyst,15,Q and A,Q3_2024,2024-10-15,Citigroup,transcript,"Saul Martinez (Analyst)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 15",Negative
"So it's just even the amended consent order was surprising because you have taken so many efforts and if you should have had an amended consent order or other actions, they probably should have been in place one, five, 10 or literally 20 years ago. And so that's just confusing on the outside.",quarter,Mike Mayo,Analyst,16,Q and A,Q3_2024,2024-10-15,Citigroup,transcript,"Mike Mayo (Analyst)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 16",Negative
"Is it a resource issue where we need to put more dollars and people or technology to it? Is it a process issue where we need to reconsider our approach? And on the other side of that root cause, taking action to fix it.",quarter,Mark Mason,CFO,17,Q and A,Q3_2024,2024-10-15,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 17",Negative
"These factors may include, among others: geopolitical, macroeconomic and other challenges and uncertainties, including those related to election outcomes, conflicts in the Middle East, economic growth, inflation and interest rates; the execution and efficacy of Citi’s transformation, simplification and other strategic and other initiatives, including those related to its investment, expense and capital-related actions; the potential outcomes of the extensive legal and regulatory proceedings, examinations, investigations, consent orders and related compliance efforts and other inquiries to which Citi is or may be subject; ongoing regulatory and legislative uncertainties and changes, including changes in regulatory capital rules, requirements or interpretations;; and the precautionary statements included in this transcript.",quarter,Citigroup Inc.,Other,18,Disclaimer,Q3_2024,2024-10-15,Citigroup,transcript,"Citigroup Inc. (Other)
Citigroup, Q3, 2024 Earnings Call Transcript, Page 18",Negative
2023 was a foundational year in which we made substantial progress simplifying Citi and executing the strategy we laid out at Investor Day.  With that said the fourth quarter was clearly very disappointing.,both,Jane Fraser,CEO,1,Prepared remarks,Q4_2023,2024-01-12,Citigroup,transcript,"Jane Fraser (CEO)
Citigroup, Q4, 2023 Earnings Call Transcript, Page 1",Negative
"Next, while Mark will go through the details, I’d like to level set on our disappointing Fourth Quarter before recapping the full year’s results. Earlier this week we disclosed additional external headwinds some of which materialized in the second half of December including a $1.3 billion reserve build related to transfer risk stemming from exposures to Argentina and Russia.",quarter,Jane Fraser,CEO,2,Prepared remarks,Q4_2023,2024-01-12,Citigroup,transcript,"Jane Fraser (CEO)
Citigroup, Q4, 2023 Earnings Call Transcript, Page 2",Negative
"We also saw a nearly $900 million negative revenue impact as a result of the larger than expected devaluation of the Argentine currency. These items, together with the $1.7 billion FDIC assessment, drove this quarter to a negative EPS of $1.16.",quarter,Jane Fraser,CEO,2,Prepared remarks,Q4_2023,2024-01-12,Citigroup,transcript,"Jane Fraser (CEO)
Citigroup, Q4, 2023 Earnings Call Transcript, Page 2",Negative
"While these items are clearly very painful, they are quite idiosyncratic in nature and won’t impact the course we have set.",quarter,Jane Fraser,CEO,2,Prepared remarks,Q4_2023,2024-01-12,Citigroup,transcript,"Jane Fraser (CEO)
Citigroup, Q4, 2023 Earnings Call Transcript, Page 2",Negative
"In Markets, our Fixed Income results were disappointing as we saw a significant slowdown in December particularly in Rates and FX.  Markets was also impacted by the Argentine devaluation. This franchise is well-positioned with our corporate clients and we continue to take actions to improve returns, whether by redeploying capital to high-returning products or exiting products which aren’t a strategic fit.",quarter,Jane Fraser,CEO,2,Prepared remarks,Q4_2023,2024-01-12,Citigroup,transcript,"Jane Fraser (CEO)
Citigroup, Q4, 2023 Earnings Call Transcript, Page 2",Negative
"While investment activity in Asia rebounded with quarterly revenues up 21%, and Wealth at Work up 18% for the year, overall Wealth revenues were down in 2023 and we fully recognize that this business isn’t where it needs to be.",both,Jane Fraser,CEO,3,Prepared remarks,Q4_2023,2024-01-12,Citigroup,transcript,"Jane Fraser (CEO)
Citigroup, Q4, 2023 Earnings Call Transcript, Page 3",Negative
"As expected, loss rates are now back to pre-pandemic levels driven by customers in the lower FICO bands.",quarter,Jane Fraser,CEO,3,Prepared remarks,Q4_2023,2024-01-12,Citigroup,transcript,"Jane Fraser (CEO)
Citigroup, Q4, 2023 Earnings Call Transcript, Page 3",Negative
"At the top right of slide 7, we show these items on a pre-tax basis. The FDIC special assessment of approximately $1.7 billion related to the regional bank failures in March. This impacted expenses in All Other.",quarter,Mark Mason,CFO,4,Prepared remarks,Q4_2023,2024-01-12,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q4, 2023 Earnings Call Transcript, Page 4",Negative
"A restructuring charge of approximately $780 million related to actions associated with our organizational simplification, which will drive headcount reductions and future savings over the medium-term, impacted expenses in All Other.",quarter,Mark Mason,CFO,4,Prepared remarks,Q4_2023,2024-01-12,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q4, 2023 Earnings Call Transcript, Page 4",Negative
The combination of these items negatively impacted diluted EPS by approximately $2.00 and RoTCE by approximately 920 basis points.,quarter,Mark Mason,CFO,4,Prepared remarks,Q4_2023,2024-01-12,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q4, 2023 Earnings Call Transcript, Page 4",Negative
"Now turning to the left side of the slide, where we show our financial results for the full firm. In the fourth quarter, we reported a net loss of $1.8 billion and a net loss per share of $1.16 on $17.4 billion of revenues.",quarter,Mark Mason,CFO,4,Prepared remarks,Q4_2023,2024-01-12,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q4, 2023 Earnings Call Transcript, Page 4",Negative
"Markets revenues decreased 6% to $18.9 billion, largely driven by lower volatility and a significant slowdown in December. The Markets business was also impacted by the Argentina devaluation.",year,Mark Mason,CFO,4,Prepared remarks,Q4_2023,2024-01-12,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q4, 2023 Earnings Call Transcript, Page 4",Negative
"Banking revenues decreased 15% to $4.6 billion, primarily driven by the mark-to-market on loan hedges, as well as a decrease in corporate lending. Investment Banking revenues were relatively flat for the year as we gained share amidst a declining wallet. Corporate Lending revenues were down 4%, excluding mark-to-market on loan hedges.",year,Mark Mason,CFO,4,Prepared remarks,Q4_2023,2024-01-12,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q4, 2023 Earnings Call Transcript, Page 4",Negative
"Wealth revenues decreased 5% to $7.1 billion, primarily due to the deposit mix shift towards higher yielding products which drove lower deposit spreads.",year,Mark Mason,CFO,4,Prepared remarks,Q4_2023,2024-01-12,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q4, 2023 Earnings Call Transcript, Page 4",Negative
"Total revenues excluding divestitures came in at $77.1 billion, below our guidance of $78-79 billion for the year largely due to the impact of the Argentina devaluation, softer Markets performance, particularly in December and losses on loan hedges.",year,Mark Mason,CFO,5,Prepared remarks,Q4_2023,2024-01-12,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q4, 2023 Earnings Call Transcript, Page 5",Negative
"As it relates to Russia, we have also included a slide in the appendix.  You will see that the reserves for transfer risk that we have taken have significantly reduced our net investment and therefore our risk of loss related to Russia.",both,Mark Mason,CFO,5,Prepared remarks,Q4_2023,2024-01-12,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q4, 2023 Earnings Call Transcript, Page 5",Negative
"Before I take you through each business, as Jane mentioned, we are not satisfied with the performance and returns of our businesses and therefore we are laser focused on executing against our strategy, simplifying the organization and right sizing the expense base. As a reminder the investments that we have been making have impacted each of the businesses as you will see in the next few slides.",both,Mark Mason,CFO,6,Prepared remarks,Q4_2023,2024-01-12,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q4, 2023 Earnings Call Transcript, Page 6",Negative
"Net income decreased to $776 million, as higher revenues were more than offset by higher cost of credit and higher expenses.",quarter,Mark Mason,CFO,6,Prepared remarks,Q4_2023,2024-01-12,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q4, 2023 Earnings Call Transcript, Page 6",Negative
"On slide 14, we show the results for Markets for the fourth quarter and the full year. Markets revenues were down 19%, versus a strong quarter last year, driven by a decline in fixed income and the impact of the devaluation, partially offset by an increase in equities.",quarter,Mark Mason,CFO,6,Prepared remarks,Q4_2023,2024-01-12,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q4, 2023 Earnings Call Transcript, Page 6",Negative
"Fixed Income revenues decreased by 25%, largely driven by rates and currencies on lower volatility and a significant slowdown in December as well as the impact of devaluation.",quarter,Mark Mason,CFO,6,Prepared remarks,Q4_2023,2024-01-12,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q4, 2023 Earnings Call Transcript, Page 6",Negative
"Markets reported a net loss of $134 million, as revenues were more than offset by higher expenses and higher cost of credit.",quarter,Mark Mason,CFO,6,Prepared remarks,Q4_2023,2024-01-12,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q4, 2023 Earnings Call Transcript, Page 6",Negative
"Corporate Lending revenues excluding mark-to-market on loan hedges decreased 26%, largely driven by lower revenue share from Investment Banking, Services and Markets.",quarter,Mark Mason,CFO,7,Prepared remarks,Q4_2023,2024-01-12,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q4, 2023 Earnings Call Transcript, Page 7",Negative
Banking reported a net loss of $322 million as higher expenses and cost of credit more than offset higher revenues. RoTCE was negative 6.0% for the quarter.,quarter,Mark Mason,CFO,7,Prepared remarks,Q4_2023,2024-01-12,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q4, 2023 Earnings Call Transcript, Page 7",Negative
"And for the full year, Banking reported an RoTCE of negative 0.2% on $4.6 billion of revenues.",year,Mark Mason,CFO,7,Prepared remarks,Q4_2023,2024-01-12,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q4, 2023 Earnings Call Transcript, Page 7",Negative
"On slide 16, we show the results for Wealth for the fourth quarter and the full year.  Wealth revenues decreased 3%, driven by lower deposit spreads, partially offset by lower mortgage funding cost and higher investment fee revenues.",quarter,Mark Mason,CFO,7,Prepared remarks,Q4_2023,2024-01-12,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q4, 2023 Earnings Call Transcript, Page 7",Negative
"Average loans were flat, as we continued to optimize capital usage. Average deposits decreased 2%, reflecting the continued mix shift of deposits to higher-yielding investments on Citi’s platform.",quarter,Mark Mason,CFO,7,Prepared remarks,Q4_2023,2024-01-12,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q4, 2023 Earnings Call Transcript, Page 7",Negative
"On slide 18, we show results for All Other on a managed basis, which includes Corporate Other and Legacy Franchises and excludes divestiture-related items. Revenues decreased 17%, driven by a decrease in NII of 29%, largely driven by the closed exits and wind-downs, partially offset by higher non-interest revenue.",quarter,Mark Mason,CFO,7,Prepared remarks,Q4_2023,2024-01-12,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q4, 2023 Earnings Call Transcript, Page 7",Negative
"Turning to slide 20, as we kick off 2024, the environment remains somewhat uncertain and Markets remains difficult to predict, but based on what we see today we expect revenues to be approximately $80 to $81 billion as shown on the left side of the slide.",both,Mark Mason,CFO,8,Prepared remarks,Q4_2023,2024-01-12,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q4, 2023 Earnings Call Transcript, Page 8",Negative
"And as it relates to NII, excluding Markets, we expect net interest income to be down modestly as the volume growth we expect from loans and deposits is more than offset by lower US rates and the reduction from the closed exits and wind-downs.",both,Mark Mason,CFO,8,Prepared remarks,Q4_2023,2024-01-12,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q4, 2023 Earnings Call Transcript, Page 8",Negative
"Embedded in this guidance includes an elevated level of severance, as well as additional potential costs related to the organizational simplification totaling approximately $700 million to $1 billion.  This will contribute to reducing headcount over 2024 and the medium term, which we will discuss on the next slide.",both,Mark Mason,CFO,8,Prepared remarks,Q4_2023,2024-01-12,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q4, 2023 Earnings Call Transcript, Page 8",Negative
"From a revenue perspective, we continue to expect a 4-5% revenue CAGR in the medium-term, including the ongoing reduction of revenue from the closing of the exits and the wind-downs.",both,Mark Mason,CFO,9,Prepared remarks,Q4_2023,2024-01-12,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q4, 2023 Earnings Call Transcript, Page 9",Negative
"And by no means was I trying to suggest that we weren't confident in the forecast for the top line. If you think about the strategy and the strength of those five core businesses, we've got a lot of conviction around that. With that said, as you point out, Jane, under a circumstance where that doesn't play out, there are obviously volume-related incentive comp expenses and the like that would naturally come down. We'd ensure that they came down with the revenue decline or shortfall. And then we'd recalibrate other spend, other investments, spend not related to risk and controls and transformation, but other investments across the platform, we'd recalibrate accordingly.",both,Mark Mason,CFO,14,Q and A,Q4_2023,2024-01-12,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q4, 2023 Earnings Call Transcript, Page 14",Negative
"Yeah, very quickly on the Russia point. As you know and as the slide points out, we've continued to bring our exposure down there. It's down to $6.5 billion, it's down 13% from the previous year and a third from 2021. We've brought down the consumer loans, the consumer deposits in a significant way there. And essentially, what's left is that we have a custody business and we're holding corporate dividends that are our clients' proceeds we’ re unable to pay those out by law, by regulation, and so we have to hold those and so that's what's being referenced in the slide when we say unremittable Russia corporate dividends. And so, that is not a risk of loss for us, but we're unable to kind of clear those because of the state of play in Russia at this stage.",both,Mark Mason,CFO,17,Q and A,Q4_2023,2024-01-12,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q4, 2023 Earnings Call Transcript, Page 17",Negative
"Sorry, Scott, I didn't hear what it was. I think the phone line cut out. The revenue attrition?",both,Jane Fraser,CEO,18,Q and A,Q4_2023,2024-01-12,Citigroup,transcript,"Jane Fraser (CEO)
Citigroup, Q4, 2023 Earnings Call Transcript, Page 18",Negative
"I'm sorry. Yeah, just curious if you have assumed any revenue attrition related to the reduction in force over the coming year.",both,Scott Siefers,Analyst,18,Q and A,Q4_2023,2024-01-12,Citigroup,transcript,"Scott Siefers (Analyst)
Citigroup, Q4, 2023 Earnings Call Transcript, Page 18",Negative
"I think what I'd say is that, you should expect it in the first quarter. We'd likely see an uptick in our total expenses relative to the fourth, in part because, as Jane has mentioned, we anticipate that there'll be more to the org simplification and, therefore, dollars associated with that in Q1. And then, from there, I would expect that you see a downward trend through the fourth quarter.",both,Mark Mason,CFO,18,Q and A,Q4_2023,2024-01-12,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q4, 2023 Earnings Call Transcript, Page 18",Negative
